code,nombre,solo_en_texto,en_tags,ingredientes_texto
2000000142230,Soi-Yah! Salchicha vegetariana de tofu,['E127'],[],"Harina de gluten de trigo, proteína aislada de soya , tofu, agua , sal de mar, ajo , cebolla , sabor idéntico al natural, rojo 3 , color caramelo y vitamina B12."
8412170019751,Galletas rellenas de cacao,['E170'],[],"Harina de trigo, grasa vegetal de palma (antioxidantes: extracto rico en tocoferoles y palmitato de ascorbillo), edulcorantes (maltitol y sucralosa), cacao en polvo desgrasado (3,5%), fibra vegetal, harina de arroz, gasificantes (bicarbonato de sodio, carbonato de magnesio y carbonato de calcio) y aroma."
7501438363420,Aminogen complex,"['E102', 'E133']",[],"consulta a tu medico. INGREDIENTES: Agua
Desmineralizada,
Amodimeticona, Fenil trimeticona, PEG-12
Dimeticona, Pantenol, Extracto de Semilla de
Girasol (Helianthus Annuus), Extracto
jojoba (Simmondsia Chinensis ), Extracto de
Cola de Caballo (Equisetum Arvense), Extracto
de Romero (Rosmarinus Officinalis), Extracto
de Arnica (Arnica montana), Aminoacidos de
Queratina, Proteina Hidrolizada de Trigo,
Ciclopentasiloxano,
Aminoacidos de Seda, Aminoacidos de Trigo,
Colageno hidrolizado, Fragancia, Imidazolidinil
urea, Tetrasodio de EDTA, Acido citrico.
Metilcloroisotiazolinona,
Amarillo 5 (CI 19140), Azul 1 (CI 42090).
Metilisotiazolinona,
Icture"
7501035046122,B:oost active energy Pop,['E129'],[],"Agua carbonatada, azucar, ácido citrico, taurina, extracto de guarana 0,36% (paullinia cupana),Citrato de sodio, glucuronolactona, saborizante artificial, vitaminas (inositol, niacina, acido pantotenico, vitamina B6, vitamina B12), benzoato de sodio (como conservador) y colorante artificial rojo allura AC."
7501005110648,"SAZONADOR MI ARROZ JITOMATE, AJO Y CEBOLLA","['E160b', 'E160c']","['E102', 'E110', 'E129']","Sal yodada, proteina vegetal hidrolizada,  glutamato monosódico, extracto de levadura (contiene <span class=""allergen"">gluten</span>),  ácido citrico, cebolla 2%, ajo 2%, tomate 2%, saborizantes natural, carboximetilcelulosa de sodio, colorantes naturales (achiote, caramelo clase lV y oleorresina de paprika), dióxido de silicio, colorantes artificiales (amarillo 5, tartrazina, amarillo 6, rojo 40), lnoslnato de sodio"
7501076120850,Chile en Polvo Sabor Tamarindo,['E133'],['E110'],"Azucares añadidos (azúcar), sal yodada, ácido cítrico, pimentón, aceite vegetal, harina de soya, mezcla de chiles, saborizante artificial (tamarindo), dióxido de silicio como antiaglomerante y colorantes artificiales (amarillo 6, rojo 6 y azul 1.) CONTIENE: SOYA"
7501032485030,caribe,"['E102', 'E132']",[],"INGREDIENTES: Agua carbonatada, fructosa, espiritu neutro: acido tifico
saborizante, benzoato de sodio, acesulfame K (4.7mg/100g) y colorantes
amarillo 5. azul 2 y rojo 401. HECHO EN MEXICO"
7501055351947,Powerade Zero Ion4 sabor uva,['E133'],['E129'],"Agua, Ácido cítrico, Concentrado powerade zero ion4 uva, Cloruro de sodio, Fosfato monopotásico, Mezcla de sucralosa y acesulfame potásico (23 mg / 100 g), Ácido ascórbico (Vitamina C), Cloruro de magnesio, Cloruro de calcio, Niacinamida (Vitamina B3), Rojo 40, Piridoxina (Vitamina B6), Azul 1 y Cianocobalamina (Vitamina B12)."
0041789001956,Instant Lunch Con Camarón,['E101'],[],"HARINA DE TRIGO ENRIQUECIDA (HARINA DE TRIGO, NIACINA, HIERRO REDUCIDO, MONONITRATO DE TIAMINA, RIBOFLAVINA, ACIDO FOLICO), ACEITE VEGETAL (PALMA CONSERVADO CON TBHQ, AJONJOLI), SAL, VEGETALES DESHIDRATADOS 2% (ZANAHORIA, CHICHAROS, AJO, CEBOLLIN, CEBOLLA), MALTODEXTRINA, CAMARONES DESHIDRATADOS 0.58%, GLUTAMATO MONOSODICO, AZUCARES HIDRATADOS (AZUCAR, LACTOSA, PROTEINA HIDROLIZADA (MAIZ, TRIGO, SOYA), ESPECIAS (PIMIENTA BLANCA), CARAMELO CLASE IV, SALSA DE SOYA DESHIDRATADA (TRIGO, FRIJOL DE SOYA, SAL), EXTRACTO DE LEVADURA DE Saccharomyces cerevisiae, CARBONATO DE POTASIO, CARBONATO DE SODIO, SABORIZANTES NATURALES, HEXAMETAFOSFATO DE SODIO, GUANILATO DE SODIO, INOSINATO DE SODIO, TRIPOLIFOSFATO DE SODIO, FOSFATO MONOCALCICO."
7501791635233,WORLD TABLE,['E101'],[],"Harina de trigo enriquecida (harina de trigo, niacina, hierro, zinc, tiamina, riboflavina, ácido fólico), grasa vegetal, azúcar, ajonjolí (6,8 % min.), sal yodada, mejorador de masa (harina de soya, ésteres de ácido diacetil tartárico, monoglicéridos, carragenina, ácido ascórbico, alfa amilasa azodicarbonamida, hemicelulosa), levadura, harina de malta, propionato de calcio como conservador, TBHQ como antioxidante. CONTIENE:TRIGO (GLUTEN), CEBADA Y SOYA."
