categoria,n
en:plant-based-foods-and-beverages,3099
en:plant-based-foods,2680
en:snacks,1675
en:beverages,1463
en:dairies,1353
en:cereals-and-potatoes,1297
en:sweet-snacks,1192
en:cereals-and-their-products,1058
en:fermented-foods,853
en:fermented-milk-products,841
en:desserts,662
en:condiments,633
en:beverages-and-beverages-preparations,613
en:breakfasts,612
en:biscuits-and-cakes,604
en:plant-based-beverages,535
en:biscuits,494
en:sauces,467
en:dairy-desserts,462
en:fermented-dairy-desserts,440
en:yogurts,437
en:spreads,411
en:fruits-and-vegetables-based-foods,410
en:salty-snacks,400
en:cheeses,397
en:groceries,395
en:breakfast-cereals,349
en:milks,320
en:meats-and-their-products,318
en:confectioneries,314
en:meals,299
en:seeds,295
en:appetizers,292
en:carbonated-drinks,280
en:breads,278
en:frozen-foods,278
en:fruit-based-beverages,272
en:artificially-sweetened-beverages,269
en:sweetened-beverages,255
en:chips-and-fries,244
en:crisps,239
en:cocoa-and-its-products,239
en:meats,236
en:biscuits-and-crackers,235
en:sweet-spreads,233
en:fats,232
en:legumes-and-their-products,228
en:plant-based-spreads,226
en:vegetables-based-foods,224
en:canned-foods,221
en:bars,198
en:waters,195
en:nuts-and-their-products,184
en:prepared-meats,184
en:dairy-drinks,182
en:dairy-substitutes,182
en:seafood,182
en:cereal-grains,178
en:fruits-based-foods,174
en:vegetable-fats,172
en:dried-products,172
en:milk-substitutes,168
en:pastas,168
en:juices-and-nectars,163
en:fishes-and-their-products,157
en:fishes,155
en:sweeteners,154
en:plant-based-milk-alternatives,151
en:sodas,151
en:fermented-dairy-desserts-with-fruits,144
en:fatty-fishes,144
en:milks-liquid-and-powder,144
en:fruit-yogurts,143
en:chocolates,136
en:pasteurized-cheeses,132
en:legumes,132
en:flavoured-fermented-dairy-desserts,131
en:flavoured-yogurts,130
en:vegetable-oils,121
en:fruit-and-vegetable-preserves,121
en:canned-plant-based-foods,121
en:fermented-drinks,120
en:flours,118
en:frozen-desserts,117
en:dietary-supplements,116
