categoria_hoja,n
en:groceries,394
en:biscuits,321
en:sweetened-beverages,252
en:milks,155
en:cereals-and-their-products,124
en:breakfast-cereals,121
en:crisps,113
en:cheeses,104
en:flavoured-yogurts,97
en:pasteurized-cheeses,80
en:yogurts,77
en:cereal-bars,76
en:greek-style-yogurts,75
en:confectioneries,66
en:refrigerated-foods,66
en:waters,64
en:candies,62
en:snacks,60
en:breads,58
en:tunas,58
en:jams,55
en:mueslis,53
en:artificially-sweetened-beverages,51
en:chocolates,51
en:bars,50
en:frozen-ready-made-meals,47
en:flavored-waters,46
en:dehydrated-soups,45
en:butters,44
en:fruit-juices,44
en:durum-wheat-pasta,43
en:beverages,42
en:toasts,41
en:refried-beans,41
en:salty-snacks,40
en:oat,38
en:ice-creams,38
en:instant-coffees,37
en:cereal-flours,36
en:panela-cheeses,36
en:dairies,36
en:fruit-yogurts,35
en:cereal-grains,34
en:mayonnaises,34
en:sodas,34
en:sweeteners,33
en:peanuts,33
en:dietary-supplements,33
en:popcorn,32
en:colas,32
en:alcoholic-beverages,32
en:fruit-based-beverages,31
en:almond-based-drinks,31
en:peanut-butters,30
en:honeys,30
en:pastas,29
en:potato-crisps,29
en:lactose-free-milk,28
en:Groceries,27
en:salted-popcorn,27
en:coffees,26
en:corn-flakes,26
en:corn-chips,26
en:soups,26
en:marmalades,26
en:sweet-spreads,25
en:energy-drinks,25
en:tabletop-sweeteners,25
en:eggs,25
en:creams,24
en:dried-fruits,24
en:vegetables-based-foods,24
en:carbonated-drinks,24
en:cakes,23
en:frozen-vegetables,23
en:milk-powders,23
en:turkey-breasts,23
en:flavored-sparkling-waters,22
en:sliced-breads,22
en:wholemeal-breads,22
en:manchego,22
en:rices,22
en:sweet-snacks,21
en:plain-yogurts,21
en:protein-powders,21
en:extruded-cereals,20
en:ice-creams-and-sorbets,20
en:coconut-waters,20
en:whole-milks,20
en:soy-based-drinks,20
en:olive-oils,19
en:stacked-extruded-potato-crisps,18
en:hot-sauces,18
en:chocolate-biscuits,18
en:turkeys,18
en:plant-based-milk-alternatives,18
en:tomato-sauces,18
en:cocoa-and-hazelnuts-spreads,17
en:coconut-milks-and-creams,17
en:turkey-sausages,17
en:crackers-appetizers,16
en:extra-virgin-olive-oils,16
en:chocolate-powders,16
en:fruits-in-syrup,16
en:melted-cheese,16
en:canned-foods,16
en:sausages,16
en:yogurt-drinks,16
en:frozen-fruits,16
en:appetizers,16
en:cake-mixes,15
en:coconut-oils,15
en:quinoa,15
en:fruit-and-soy-beverages,15
en:pork-meals,15
en:canola-oils,15
en:vegetable-fats,15
en:jelly-desserts,15
en:gelatin,15
en:teas,15
en:cheese-spreads,14
en:wholemeal-sliced-breads,14
en:cow-milks,14
en:instant-beverages,14
en:syrups,14
en:italian-pasta,14
en:dry-biscuits,14
en:strawberry-jams,14
en:seafood,14
en:ice-pops,14
en:puffed-rice-cakes,14
en:caramels,14
en:energy-bars,14
en:ketchup,13
en:meats,13
en:unsalted-margarines,13
en:canned-vegetables,13
en:strawberry-yogurts,13
en:salad-dressings,13
en:beers,13
en:corn,13
en:chorizo,13
en:vinegars,13
en:fried-foods,13
en:fresh-eggs,13
en:mexican-cheeses,13
en:filled-biscuits,12
en:rolled-oats,12
en:sauces,12
en:corn-starch,12
en:mineral-waters,12
en:drinkable-yogurts,12
en:fresh-meats,12
en:canned-tunas,12
en:spices,12
en:organic,12
en:protein-bars,11
en:unsweetened-beverages,11
en:ice-cream-tubs,11
en:fruit-juices-from-concentrate,11
en:white-breads,11
en:biscuits-and-cakes,11
en:wheat-flours,11
en:oatmeal-cookies,11
en:herbal-teas,11
en:avocado-oils,11
en:evaporated-milks,11
en:chocolate-milks,11
en:spaghetti,11
en:chia,11
en:ice-cream-bars,11
en:dairy-drinks,11
en:frozen-strawberries,11
en:hams,11
en:sugar-free-chewing-gum,11
en:condiments,11
en:fruit-nectars,10
en:crispbreads,10
en:puffed-cereals,10
en:hamburger-buns,10
en:pastries,10
en:potatoes,10
en:cocoa-and-chocolate-powders,10
en:meals,10
en:apple-nectars,10
en:tunas-in-oil,10
en:chickens,10
en:bonbons,10
en:artificial-sugar-substitutes,9
en:iced-teas,9
en:instant-chocolate-powders,9
en:dark-chocolates,9
en:orange-juices,9
en:common-beans,9
en:instant-noodle-soups,9
en:plant-based-foods,9
en:pork,9
en:soy-sauces,9
en:mixes-for-jelly-desserts,9
en:cocoa-powders,9
en:flavoured-potato-crisps,9
en:chocolate-candies,9
en:oat-based-drinks,9
en:prepared-meats,9
en:canned-tomatoes,9
en:grated-cheese,8
en:natural-mineral-waters,8
en:cornmeal,8
en:plant-based-beverages,8
en:cereal-flakes,8
en:olives,8
en:green-pitted-olives,8
en:canned-common-beans,8
en:salads,8
en:seeds,8
en:tuna-in-olive-oil,8
en:sugar-substitutes,8
en:gummi-candies,8
en:refrigerated-meals,8
en:bars-covered-with-chocolate,8
en:fats,8
en:virgin-olive-oils,8
en:mustards,8
en:sardines,8
en:fruit-and-milk-beverages,8
en:frozen-desserts,8
en:desserts,8
en:margarines,8
en:fruit-sodas,8
en:wafers,8
en:milk-substitutes,8
en:green-teas,8
en:kefir,7
en:flours,7
en:almond-butters,7
en:condensed-milks,7
en:dessert-mixes,7
en:nut-bars,7
en:liquid-honeys,7
en:hummus,7
en:chewing-gum,7
en:chocolate-cereal-bars,7
en:milk-jams,7
en:infant-formulas,7
en:dried-cranberries,7
en:salts,7
en:pizzas-pies-and-quiches,7
en:spring-waters,7
en:almonds,7
en:milk-chocolates,7
en:tea-bags,7
en:vitamins,7
en:creamer,6
en:wheat-breads,6
en:diet-cola-soft-drink,6
en:madeleines,6
en:dairy-desserts,6
en:dips,6
en:chocolate-sandwich-cookies,6
en:peas,6
en:puffed-wholegrain-rice-cakes,6
en:milk-chocolates-with-hazelnuts,6
en:green-stuffed-olives,6
en:chocolate-cereals,6
en:orange-nectars,6
en:raw-cured-ham,6
en:corn-oils,6
en:soybean-oils,6
en:tomatoes,6
en:precooked-rices,6
en:fruits,6
en:sugars,6
en:canned-corn,6
en:low-fat-yogurts,6
en:milkshakes,6
en:bodybuilding-supplements,6
en:wavy-potato-crisps,6
en:apple-juices,6
en:juices-and-nectars,6
en:dietary-drink-for-sport,6
en:kombuchas,6
en:nuts,6
en:vegetables,6
en:meat-analogues,5
en:carbonated-waters,5
en:agave-syrups,5
en:non-alcoholic-beverages,5
en:dehydrated-beverages,5
en:flavoured-milks,5
en:pound-cake,5
en:canned-red-kidney-beans,5
en:sweetened-yogurts,5
en:strawberry-milks,5
en:peeled-tomatoes,5
en:panettone,5
en:penne-rigate,5
en:balsamic-vinegars-of-modena,5
en:barbecue-sauces,5
en:mango-nectars,5
en:grape-seed-oils,5
en:sardines-in-tomato-sauce,5
en:coconut-based-drinks,5
en:flans,5
en:fresh-vegetables,5
en:black-pitted-olives,5
en:instant-noodles,5
en:frozen-fried-potatoes,5
en:cheese-substitutes,5
en:flavoured-milk-chocolates,5
en:smoked-bacon,5
en:extruded-crispbreads,5
en:pestos,5
en:dairy-variety-packs,5
en:brownies,4
en:toaster-pastries,4
en:products-without-gluten,4
