code,ingredientes_texto,idioma_inferido,posible_ocr,posible_truncado
0016000261648,"Extracto de raíz de achicoria, harina de arroz, hojuelas de avena entera, azúcar, jarabe de maíz, chispas de chocolate semiamargo 4% (azúcar, licor de cacao procesado con alcali, manteca de cacao, grasa butirica, <span class=""allergen"">lecitina de soya</span>, saborizante natural), miel, trigo inflado, glicerina, aceite vegetal (aceite de semilla de palma), cocoa procesada con álcali, aceite vegetal (aceite de canola), maltodextrina, <span class=""allergen"">lecitina de soya</span>, sal, saborizante natural, extracto de malta, fructosa, goma celulosa, leche entera, bicarbonato de sodio, colorante caramelo clase IV, tocoferoles",es,False,True
0016000275263,"Whole Grain Oats. Corn Starch, Sugar, Salt, Tripotassium Phosphate. Vitamin E (mixed tocopherols) Added to Preserve Freshness. Vitamins and Minerals: Calcium Carbonate, Iron and Zinc (mineral nutrients), Vitamin C (sodium ascorbate), A B Vitamin (niacinamide), Vitamin B6 (pyridoxine hydrochloride), Vitamin A (palmitate), Vitamin B₁ (thiamin mononitrate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.",en,False,False
0016000506497,"wheat Flour Bleached, Chicory Root Extract, Sugar, Semisweet Chocolate Chips (sugar, chocolate liquor, cocoa butter, soy lecithin, natural flavor). vegetable Oil (canola, palm, palm kernel), Fructose, Dutch Cocoa (processed with alkali), sugarcane Fiber, Vegetable Glycerin, Water, Leavening (baking soda, sodium aluminum phosphate), Cocoa, Natural Flavor, corn Starch, Salt, Modfied Corn Starch, Dried Egg White, Soy Lecithin, Milk, Xanthan Gum, Locust Bean Gum, Oil of Rosemary.",en,False,False
0016000507258,"Whole grain oats, sugar, canola oil, dark chocolate pieces (sugar, chocolate liquor, cocoa butter, soy lecithin, natural flavor, salt), rice flour, honey, cocoa, brown sugar syrup, salt, natural flavor, baking soda, soy lecithin.",en,False,False
0017077102322,"Pasteurized lowfat milk, nonfat milk, pectin, vitamin a palmitate, vitamin d3, live and active cultures.",en,False,False
0018627703174,"Whole grain wheat*, cane sugar*, cinnamon*, natural flavor .*Organic",en,False,True
0021136010480,MINERAL WATER AND CARBON DIOXIDE.,en,False,False
0025293001503,"Almond base (filtered water, almonds), Vegetable oil, Vitamin and mineral blend (calcium carbonate, zinc gluconate, vitamin A palmitate, riboflavin [B2], vitamin D2, vitamin B12), Dipotassium phosphate, Natural flavour, Sea salt, Gellan gum, Ascorbic acid. _Contains: Almond._",en,False,False
0029700001414,"idaho potatoes, vegetable oil (contains one or more of the following: coconut, palm, <span class=""allergen"">soybean</span>, cottonseed, sunflower, canola), corn syrup solids, salt, maltodextrin, nonfat dry milk, sugar, sodium caseinate, butter powder [<span class=""allergen"">butter</span> (sweet cream, salt, annatto color), nonfat milk solids, sodium caseinate and disodium phosphate], mono and diglycerides, calcium stearoyl lactylate, natural and artificial flavors (<span class=""allergen"">milk</span>, <span class=""allergen"">soy</span>), spice, sodium acid pyrophosphate (preserve freshness), sodium bisulfite (preserve freshness), dipotassium phosphate, artificial color, citric acid (preserve freshness), mixed tocopherols (preserve freshness) and less than 2% silicon dioxide added as an anti-caking agent,",en,False,True
0031200454560,"Agua, jugo de arándano reconstruido (27%), azúcar, ácido ascórbico (vitamina C), jugo de zanahoria concentrado",es,False,True
