code,descartados,texto
0013000001243,E160c,"CONCENTRADO DE TOMATE (AGUA Y PASTA DE TOMATE), AZÚCARES AÑADIDOS (JARABE DE MAÍZ DE ALTA FRUCTOSA Y JARABE DE MAIZ), VINAGRE, SAL YODADA, OLEORRESINA DE PAPRIKA, CEBOLLA EN POLVO Y SABORIZANTE NATURAL."
0014100085478,E160b,"HARINA DE TRIGO ENRIQUECIDA (HARINA, NIACINA, HIERRO REDUCIDO, MONONITRATO DE TIAMINA, RIBOFLAVINA, ÁCIDO FOLICO), QUESO TIPO CHEDDAR (CULTIVO LÁCTICO, SAL, ENZIMAS, EXTRACTO DE ANNATO), ACEITE VEGETAL (DE CANOLA Y/O GIRASOL), CONTIENE 2% O MENOS DE: SAL, HIDROLIZADO DE LEVADURA, AZUCAR, LEVADURA AUTOLIZADA, BICARBONATO DE SODIO, FOSFATO MONOCÁLCICO, CHILE (PIMENTON), ESPECIAS, APIO, CONDIMENTO (CEBOLLA EN POLVO)."
0038000317316,"E100,E171","Tarta: (Harina enriquecida (harina de trigo, niacina, hierro reducido, mononitrato de tiamina (vitamina B1), flooflavina (Vitamina B2), ácido fólico), azúcares añadidos (jarabe de maíz, jarabe de maíz alto en fructosa, azúcar), aceite vegetal (con TBHQ para mantener la frescura), sal, polvos para hornear (bicarbonato de sodio, pirofosfato ácido de sodio, fosfato monocalcico), grenetina, extracto de cúrcuma, rojo 40, amarillo 6, azul 1, dióxido de titanio], relleno sabor fresa (min. 38%) [azúcares añadidos (jarabe de maíz, dextrosa, jarabe de maíz alto en fructosa), harina de trigo, almidón, aceite vegetal, fresas secas, peras secas, manzanas secas, ácido citrico, almidón modificado, harina de maíz amarillo, caramelo dase NV, goma xantana, lecitina de soya)."
0038000581717,E171,"Tarta: [Harina enriquecida (harina de trigo, niacina, hierro reducido, vitamina B1, vitamina B2, ácido fólico), azúcares añadidos (Jarabe de maíz alto en fructosa, azúcar, melaza, Jarabe de maíz), aceite vegetal (con TBHQ para mantener la frescura), harina de trigo de grano entero, sólidos de la leche, polvos para hornear (bicarbonato de sodio, fosfato de aluminio y sodio), lecitina de soya, sal, grenetina, cocoa], relleno sabor chocolate y malvavisco (min. 38%) (azúcares añadidos (dextrosa, Jarabe de maíz, jarabe de maíz alto en fructosa, azúcar), harina de trigo, sólidos de la leche, acelte vegetal, almidón, almidón modificado, chocolate, sal, cocoa, dióxido de titanio, clara de huevo, saborizante natural y artificial, goma xantana, lecitina de soya]."
0041800317004,E160a,"AGUA FILTRADA, JARABE DE MAIZ DE ALTA FRUCTOSA, JUGO CONCENTRADO DE NARANIA 6 % Y JUGO CONCENTRADO DE PINA 4 %, ACDO CITRICO, GOMA ACACIA, GOMA ESTER, CITRATO DE SODIO, SABORIZANTE NATURAL, ACIDO ASCORBICO, BETA CAROTENO, AMARILLO 5."
0072180634290,E160c,"Queso mozzarella de baja humedad (cultivos de leche pasteurizada descremada, sal, enzimas, queso parmesano (cultivos de leche pasteurizada descremada, sal, enzimas), queso cheddar (cultivos de leche pasteurizada, sal, enzimas, annato), queso provolone sabor a humo (leche pasteurizada cultivada, sal, enzimas, saborizante de humo)), harina enriquecida (harina de trigo, harina de cebada maltada, niacina, hierro reducido, mononitrato de tiamina, riboflavina, ácido fólico), agua, pasta de tomate, contiene 2% o menos de: levadura, aceite de palma, azúcar, aceite vegetal (aceite de soya y/o aceite de canola), sal, almidón modificado, especias, maltodextrina, ajo deshidratado, proteína hidrolizada de soya y maíz, paprika, cebolla deshidratada, almidón de trigo, hudrocloruro de 1-cisteína, sulfato de amonio, lecitina de soya, saborizante natural, enzimas (contiene trigo), ácido ascórbico. Contiene trigo/gluten, leche y soya."
0072180634719,E160c,"Harina enriquecida (harina de trigo, harina de cebada malteada, niacina, hierro reducido, mononitrato de tiamina, riboflavina, ácido fólico), agua, queso mozzarella de baja humedad (cultivos de leche descremada pasteurizada, sal, enzimas), aderezo de pizza (salchicha (cerdo, pollo, especias, agua, sal, azúcar, ajo en polvo), agua, proteína vegetal texturizada (harina de soya, sal)), pimiento verde y rojo, pasta de tomate, pepperoni de cerdo, pollo y res (carne de cerdo, pollo, res, sal, contiene 2% o menos de agua, dextrosa, especias, saboriante de humo, iniciador de cultivos de ácido láctico, ascorbato de sodio, saborizante, ajo en polvo, nitrato de sodio, BHA, BHT, ácido cítrico, contiene uno o más de: Paprika, oleorresina de paprika), cebolla, contiene 2% o menos de levadura, aceite de palma, azúcar, aceite vegetal (aceite de soya y/o aceite de canola), sal, almidón modificado, especias, maltodextrina, ajo deshidratado, proteína hidrolizada de soya y maíz, paprika, cebolla deshidratada, almidón de trigo, hidrocloruro de I-cisteina, sulfato de amonio, lecitina de soya, saborizante natural, enzimas (contiene trigo), ácido ascórbico. 
Contiene trigo, leche y soya."
0072180634733,E160c,"Harina enriquecida (harina de trigo, harina de malta de cebada, niacina, hierro reducido, tiamina, mononitrato, riboflavina, ácido fólico), agua, baja humedad semidescremada mozarela (leche cultivada pasteurizada parcialmente descremada, sal, enzimas), pepperoni hecho de carne de cerdo, pollo y res (cerdo, pollo separado mecánicamente, res, sal, contiene 2% o menos de: agua, dextrosa, especias, aromas de humo, ácido láctico de cultivo de entrada, ascorbato de sodio, saborizantes, ajo en polvo, nitrito de sodio, BHA, BHT, ácido cítrico, contiene uno o más de paprika, oleor, resina de paprika), pasta de tomate, contiene 2% o menos de: levadura, aceite de palma, azúcar, aceite vegetal (soja y/o aceite de canola), sal, almidón de alimento modificado, especia, maltodextrina, ajo seco, soja hidrolizada y proteína de maíz, paprika, cebolla seca, almidón de trigo, clorhidrato de L-cisteína, sulfato de amonio, lecitina de soja, aroma natural, enzimas (contiene trigo), ácido ascórbico."
0076150601336,E160b,"maiz palomero, aceite vegetal (aceite de palma), sal yodada, saborizante natural (mantequilla), extracto de annato."
0078742091976,"E100,E160c","VINAGRE, AGUA, SEMILLAS DE MOSTAZA, SAL, CURCUMA TURMERICO, EXTRACTO DE PAPRIKA"
