categoria,clave,n,n_con_colorante,pct_con_colorante,n_sintetico,pct_sintetico,n_natural_sin_carmin,pct_natural,n_carmin,pct_carmin,n_mineral_inorganico,pct_mineral,n_ambos,pct_solo_natural_entre_coloreados,potencia_suficiente
Bebidas no alcohólicas,bebidas_no_alcoholicas,995,248,24.9,203,20.4,29,2.9,25,2.5,1,0.1,1,18.1,True
Lácteos,lacteos,742,84,11.3,29,3.9,46,6.2,15,2.0,0,0.0,4,65.5,True
Panificación y galletería,panificacion_y_galleteria,679,153,22.5,138,20.3,7,1.0,5,0.7,8,1.2,3,5.9,True
Salsas y aderezos,salsas_y_aderezos,526,66,12.5,43,8.2,26,4.9,3,0.6,4,0.8,3,34.8,True
Postres y gelatinas,postres_y_gelatinas,483,216,44.7,151,31.3,34,7.0,46,9.5,0,0.0,7,30.1,True
Conservas y untables,conservas_y_untables,437,31,7.1,12,2.7,17,3.9,3,0.7,0,0.0,0,61.3,True
Botanas saladas,botanas_saladas,416,200,48.1,177,42.5,32,7.7,2,0.5,2,0.5,11,11.0,True
Cereales de desayuno y barras,cereales_desayuno,371,82,22.1,62,16.7,25,6.7,5,1.3,2,0.5,10,22.0,True
Confitería y golosinas,confiteria,316,100,31.6,90,28.5,7,2.2,9,2.8,14,4.4,5,9.0,True
Cárnicos procesados,carnicos_procesados,250,106,42.4,11,4.4,3,1.2,95,38.0,0,0.0,3,89.6,True
Comidas preparadas,comidas_preparadas,207,67,32.4,19,9.2,55,26.6,2,1.0,4,1.9,9,71.6,True
Helados y paletas,helados_y_paletas,101,35,34.7,14,13.9,20,19.8,10,9.9,0,0.0,4,60.0,True
