id,code,estrato,bloque,anotador_1,anotador_2,terminos_1,terminos_2,dudosos_1,dudosos_2,texto_utilizable_1,texto_utilizable_2,generica_1,generica_2,en_desempate
R0001,7622201735432,natural,solo_A,SI,,carmines,,,,SI,,NO,,NO
R0002,12388002507,ambiguo_descartado,solo_A,SI,,dióxido de titanio,,,,NO,,NO,,NO
R0003,20899001605,natural,solo_B,,SI,,BETA CAROTENO; ANNATO; ROJO 40; AZUL 1; AMARILLO 6; AMARILLO 5; TARTRAZINA,,,,SI,,NO,NO
R0004,7500478004706,natural,comun,SI,SI,carmín; dióxido de titanio,carmín; dióxido de titanio,,,SI,SI,NO,NO,NO
R0005,7506443108349,natural,solo_B,,SI,,carmín,,enocianina,,SI,,NO,NO
R0006,7501055904792,ambiguo_descartado,solo_A,SI,,extracto de annato; cúrcuma,,,,SI,,NO,,NO
R0007,7506174507633,natural,comun,SI,SI,Dióxido de titanio; Azul 1; Amarillo 6; Rojo 40; Amarillo 5; Azul 2,Dióxido de titanio; Azul 1; Amarillo 6; Rojo 40; Amarillo 5; Azul 2,,,SI,SI,NO,NO,NO
R0008,2000000147161,ambiguo_descartado,comun,SI,DUDOSO,curcumina; extracto de paprika,,,curcumina; extracto de paprika,SI,SI,NO,NO,SI
R0009,7501011167070,sintetico,solo_B,,SI,,Tartrazina; Rojo Allura AC,,,,SI,,NO,NO
R0010,19836100778,sintetico,solo_A,SI,,Amarillo 5; Rojo 40; Azul 1,,,,SI,,NO,,NO
R0011,7503019426593,natural,solo_A,SI,,dióxido de titanio; extracto de annatto,,,,SI,,NO,,NO
R0012,7501040080166,ambiguo_descartado,solo_A,SI,,EXTRACTO DE ANNATO,,,,SI,,NO,,NO
R0013,7501032397746,natural,solo_A,SI,,carmin; beta caroteno,,,,SI,,NO,,NO
R0014,7501052477008,natural,solo_A,SI,,CARMIN,,,,SI,,NO,,NO
R0015,7501630225199,natural,solo_A,SI,,DIÓXIDO DE TITANIO; BETA CAROTENO,,,,SI,,NO,,NO
R0016,2000000147310,natural,comun,SI,SI,amarillo 5; rojo 40; azul 2; azul 1; extracto de zanahoria; extracto de paprika,amarillo 5; rojo 40; azul 2; azul 1; extracto de zanahoria; extracto de paprika,,,SI,SI,NO,NO,NO
R0017,20899001087,sintetico,comun,SI,SI,rojo 40,rojo 40,,,SI,SI,NO,NO,NO
