codigo,universo,clase,n,sin_tag,brecha_pct,ic_bajo,ic_alto
E160a,depurado,natural,73,73,100.0,95.0,100.0
E160a-i,depurado,sintetico,10,10,100.0,72.2,100.0
E160b,depurado,natural,150,150,100.0,97.5,100.0
E160c,depurado,natural,70,70,100.0,94.8,100.0
E160d,depurado,natural,2,2,100.0,34.2,100.0
E160e,depurado,sintetico,18,18,100.0,82.4,100.0
E161b,depurado,natural,3,3,100.0,43.9,100.0
E164,depurado,natural,1,1,100.0,20.7,100.0
E120,depurado,carmin,233,223,95.7,92.3,97.7
E124,depurado,sintetico,30,27,90.0,74.4,96.5
E127,depurado,sintetico,29,26,89.7,73.6,96.4
E100,depurado,natural,113,84,74.3,65.6,81.5
E162,depurado,natural,7,5,71.4,35.9,91.8
E133,depurado,sintetico,356,228,64.0,58.9,68.9
E132,depurado,sintetico,75,45,60.0,48.7,70.3
E122,depurado,sintetico,19,10,52.6,31.7,72.7
E163,depurado,natural,14,7,50.0,26.8,73.2
E110,depurado,sintetico,542,252,46.5,42.3,50.7
E140,depurado,natural,4,1,25.0,4.6,69.9
E171,depurado,mineral,48,12,25.0,14.9,38.8
E129,depurado,sintetico,667,151,22.6,19.6,26.0
E102,depurado,sintetico,658,117,17.8,15.0,20.9
E141,depurado,natural,1,0,0.0,0.0,79.3
E143,depurado,sintetico,1,0,0.0,0.0,79.3
E140,descartado,natural,1,1,100.0,20.7,100.0
E160a,descartado,natural,92,92,100.0,96.0,100.0
E160b,descartado,natural,185,185,100.0,98.0,100.0
E160c,descartado,natural,128,128,100.0,97.1,100.0
E162,descartado,natural,8,8,100.0,67.6,100.0
SPIRULINA,descartado,natural,6,6,100.0,61.0,100.0
E100,descartado,natural,114,94,82.5,74.4,88.3
E163,descartado,natural,20,11,55.0,34.2,74.2
E171,descartado,mineral,89,20,22.5,15.0,32.2
