code,estrato,texto,anotador_1,anotador_2,notas
7500326103339,sintetico,"Aqua carbonatada, azucar ylo fructosa,concentrado sabor sangria, saborizantes naturales acido citrico, caramelo clase IV, benzoato de sodio como conservador colorantes artificiales (Rojo Allura AC y Azul Brillante FCF).",,,
7501011151567,sintetico,"CACAHUATE, ACEITE VEGETAL, CONDIMENTO [Sal Yeiada Aoido Ctrio, Chiles,Maltodextrina, Saborizantes, Rojo Allura AC, Acido Fumarico Oleorresina de Paprika, Oleorresina de Capsicum, Cloruro de Potasio, Extracto de Levadura, Sulfato de Potasio, Almidón Modificado, Azucar, Amarillo Ocaso FCF, Aceite de Soya Parcialmente Hidrogenado, Diacetato de Sodio, Acido Láctico, Azul Brillante FCF, Manitol (0,02 g en 100 g de Producto), Guanilato de Sodio, Inosinato de Sodio, Dextrosa].",,,
75038502,sintetico,"NGRED ENTES: AZUCARES ANADIDOS (AZUCAR, JARABE DE MAIZ, ACIDO CITRICO
SABORIZANTES ARTIFFICALES, DIOXIDO DE TTTANIO AMARILLO 5 ROJO 40. A}UL 1 LECITNA
E SOYA CONTIENE: AMARILLO 5, SOYA. PUEDE CONTENER: LECHE Y CACAHUATE.
Lonservese en un lugar seco y fresco. Elaborado por. Productos Ricolino, SA.P.I.de C.V. Avenida Eje
Centiral Lazaro Cardenas 711. Colonia Nueva Industrial Vallejo, Codigo Postal 07700, Gustavo
deVerico, HECHO EN MEXICO, O MARCAS REGISTRADAS, D.R.� 2021, Utizaror b
BrsAB.C.V, Prolongacion Paseo de la Reforma No.1000 Coloric Poris Biangsa TN
Maico C.P. 120 Para Declaracion Nutrimental y Atencion al clierte: 55 4746 97 26.
$
SELLOS
SECRETARIA DE SALUD",,,
0034856668084,sintetico,"NOM-051-SCFI/SSA1-2010
INGREDIENTES: PURE DE FRUTA MIN. 45% (UVA, DURAZNO, NABANJA, FRESA Y
FRAMBUESA), AZUCARES ANADIDOS (JARABE DE MAIZ, AZÚCAR JUG0 DE UVA
CONCORDIA DE CONCENTRADO), ALMIDÓN MÓDIFICADO (DE MAIZ Y TAPIOCA)
ELATINA, PECTINA, ACIDO LÀCTICO, ACIDO (TRCO (ACIDULAWTE), SABORIZANTES
NATURALES Y ARTIFICIALES, CITRATO DE SODIO, ACEITE VEGETAL, ACIDO ASCORBICO
(VITAMINA C), ACETATO DE ALFA TOCOFEROL (VTAMINA E), PALMITATO DE VITAMINA
A, CERA DE CARNAUBA, ROJ0 40, AZUL 1, EXTRĂSTO DE ANYATO, CURCUMINA.
Hecho en Estados Unidos de América
MADE IN JSA
¿Comenkarios o lreguntas?
Comments or Otestions?
www.welchstruitsnacks.mx
@ welghsFruitSnacksMx
Fabrcado por
P",,,
7501518466164,sintetico,"Agua, grasa vegetal, base en polvo [maltodextrina, almidón modificado de maíz, sal, mezcla de gomas (xantana y CMC),citrato de sodio, fosfato disódico, glutamato monosódico y sorbato de potasio, leche descremada en polvo, sólidos de leche, saborizante natural (mezcla de quesos, enzimas)], saborazante, glutamato monosódico, inosinato y guanilato de sodio, color amarillo 5 (tartrazina), color amarillo 6, sorbato de potasio y benzoato de sodio.",,,
7622210688842,sintetico,"Ácido cítrico, citrato de sodio, maltodextrina, edulcorantes artificiales (aspartame, acesulfame potásico), fosfato tricálcico, colorantes (caramelo clase IV, dióxido de titanio y rojo allura AC), ácido ascórbico (vitamina C), pulpa de manzana deshidratada 1%, goma guar, carboximetilcelulosa de sodio, saborizantes artificial y natural a fresa, acetato de retinol (vitamina A), clorhidrato de piridoxina (vitamina B6), mononitrato de tiamina (vitamina B1)",,,
7501791666398,sintetico,"<span class=""allergen"">Camarón</span> (Litopenaus vanamei), Panko, 29% [<span class=""allergen"">harina de trigo</span> (<span class=""allergen"">gluten</span>), azúcar, grasa mixta hidrogenada, sal yodada, levadura (Saccharomyces cerevisiae), colorantes artificiales (amarillo 5, Amarillo 6, rojo 5, Azul 2), aceite vegetal no hidrogenado, mezcla para capear, <span class=""allergen"">harina de trigo</span> (<span class=""allergen"">gluten</span>), fibra de trigo, sal yodada, glutamato monosódico, goma guar, huevo en polvo, colorantes artificiales (Amarillo 5, Amarillo 6, Rojo 5, Azul 2)]",,,
7501030491071,sintetico,"HARINA DE TRIGO (GLUTEN), RELLENO SABOR A CHOCOLATE 36% (AZÚCAR, GRASA VEGETAL, COCOA, LECITINA DE SOYA, SABORIZANTE ARTIFICIAL), AZÚCAR, GRASA VEGETAL, LECHE, JARABE DE MAÍZ DE ALTA FRUCTOSA, SAL YODADA, BICARBONATO DE SODIO, HUEVO, LECITINA DE SOYA, HIERRO, ZINC, VITAMINA A, SABORIZANTE ARTIFICIAL, BENZOATO DE SODIO. PUEDE CONTENER: AJONJOLÍ, NUEZ, ALMENDRA COCO, CACAHUATE, AMARILLO 5",,,
0041512155628,sintetico,"Macarrones enriquecidos (harina de trigo, harina de cebada malteada, niacina, hierro reducido, mononitrato de tiamina, riboflavina y ácido fólico), salsa de queso cheddar (sólidos de productos lácteos, harina de trigo blanqueada enriquecida [harina de trigo, niacina, hierro, mononitrato de tiamina, riboflavina, ácido fólico], sal, suero de leche, queso cheddar [leche, cultivos de queso, sal, enzimas], almidón de maíz modificado). Contiene 2% o menos de: suero reducido en lactosa, sabor natural, mantequilla (crema, sal), sólidos de suero de mantequilla, leche descremada, levadura seca, colorantes amarillo 5 y amarillo 6, fosfato disódico.",,,
0047117099107,sintetico,"Agua, durazno (23,7%), pera (23,7%), jugo concentrado de uva blanca 16,83%, cereza 3,75% (cereza, eritrosina), Saborizante natural, ácido ascórbico, ácido cítrico. Informa Por porción d Porciones por Cantidad por p Lote y Fecha de caducidad: Ver en el contenido energé envase Proteínas Manténgase en un lugar seco y fresco. Grasas (Lipido Grasas saturadas Carbohidratos Azúcares со Fibra dietética Sodio",,,
