code,estrato,texto,anotador_1,anotador_2,notas
7500478012114,sintetico,"Maíz nixtamalizado, aceite vegetal (contiene tbhq), condimento [maltodextrina, sal yodada, ácido cítrico glutamato monosódico, azúcar, saborizantes (contiene gluten (cebada)), proteína vegetal hidrolizada de soya y de maíz, cloruro de potasio, diacetato de sodio, rojo allura ac, quesos, bicarbonato de sodio, ácido fumárico, especias, ácido málico, estearato de calcio, aceite vegetal, almidón modificado, goma arábiga, ácido acético, dióxido de silicio, guanilato de sodio, inosinato de sodio, amarillo ocaso fcf, sólidos de jugo de limón, fosfato de potasio, tartrazina, caramelo clase iv, bht, hidrolizado de levadura, manitol (0,001 g/100 g en condimento).], achiote.",,,
7503029445140,sintetico,"AZÚCARES AÑADIDOS (AZÚCAR, JARABE DE MAÍZ DE ALTA FRUCTOSA, AZÚCAR INVERTIDO, GLUCOSA, MALTOSA, JUGO CONCENTRADO DE MANZANA), GRASA Y ACEITE VEGETAL, HARINA DE TRIGO (GLUTEN), LECHE RECONSTITUIDA, HUEVO, PURÉ DE FRESA (5%), COCOA, GRASA BUTÍRICA, GLICERINA, ALMIDÓN MODIFICADO, ÉSTERES DE PROPILENGLICOL DE ÁCIDOS GRASOS, ESTEAROIL LACTILATO DE SODIO, SAL YODADA, PROPIONATO SÓDICO, MONO Y DIGLICÉRIDOS, MONOESTEARATO DE SORBITÁN, POLISORBATO 60, ALMIDÓN, ÁCIDO SÓRBICO, BENZOATO DE SODIO, SORBATO DE POTASIO, SABORIZANTE ARTIFICIAL Y NATURAL, LECITINA DE SOYA, CANELA, TRIESTEARATO DE SORBITÁN, VAINILLINA, ENZIMAS, GOMA XANTANA, GOMA GUAR, GOMA DE ALGARROBO, GOMA ARÁBIGA, CARRAGENINA, CMC SÓDICA, ÁCIDO CÍTRICO, ROJO 40, ROJO 3. CONTIENE: GLUTEN, LECHE, HUEVO Y SOYA. PUEDE CONTENER: NUEZ",,,
7501000112203,sintetico,"<span class=""allergen"">HARINA DE TRIGO</span> (<span class=""allergen"">GLUTEN</span>), JARABE DE MAÍZ DE ALTA FRUCTOSA, <span class=""allergen"">LECHE</span> </span>RECONSTITUİDA (12%), GRASA VEGETAL, <span class=""allergen"">HUEVO</span>, LEVADURA, PROTEÍNA VEGETAL (CHÍCHARO), DEXTROSA, ÉSTERES DE ÁCIDO DIACETIL TARTÁRICO, ESTEAROIL LACTILATO DE SODIO, <span class=""allergen"">GLUTEN DE TRIGO</span>, SAL YODADA, PROPIONATO DE CALCIO, PROPIONATO DE SODIO, SABORIZANTE NATURAL Y ARTIFICIAL, ESTEVIA (3 mg/100g), AMARILLO 5, ROJO 40, <span class=""allergen"">LECITINA DE SOYA</span>. PUEDE CONTENER<span class=""allergen"">: AJONJOLÍ</span> Y <span class=""allergen"">NUEZ</span>.",,,
7506443101265,sintetico,"<span class=""allergen"">LECHE</span> </span>semidescremada pasteurizada, 13% preparado de piña coco (azúcares, piña, coCa, almidón modificado, ácido citrica, saborizantes, citrato de sodio, sorbato de potasio y amarilo 5 (TARTRAZINA), almidón modificado, maltodertrina, grenetina y cutivos lácticos. Puede contener sulfits, <span class=""allergen"">almendra</span>, <span class=""allergen"">gluten</span>, <span class=""allergen"">nuez</span> y fresa. Grasa de leche 1,6%. Mel",,,
7501040081477,sintetico,"Agua, grasas y/o aceites vegetales, almidón modificado, sólidos de leche, proteína láctea, grenetina, maltodextrina, sal yodada, leche descremada en polvo, fosfato de sodio, saborizante natural, ácido sórbico, monoestearato de glicerilo, ácido cítrico, goma guar, anaranjado alimentos 6, anaranjado alimentos 5, saborizante artificial, <span class=""allergen"">lecitina de soya</span>.",,,
7501055352388,sintetico,"Agua, Concentrado de Ciel Exprim sabor Mandarina con Gajos, Hexametafosfato de sodio, Benzoato de sodio, Sorbato de potasio, EDTA de calcio, Extracto de Mandarina (0,02%), Mezcla de sucralosa y acesulfame (5,7 mg/100). Amarillo 6 y rojo 40.",,,
7501000673186,sintetico,"Harina de trigo, azúcar, grasa vegetal (contiene antioxidantes TBHQ, palmitato de ascorbilo, tocoferoles), jarabe de maíz de alta fructosa, sal yodada, emulsificantes (ésteres de propilenglicol de ácidos grasos, monoestearato de glicerilo, estearoil lactilato de sodio), almidón, saborizantes, lecitina de soya, harina de soya, sólidos de la leche, colorantes (tartrazina, amarillo ocaso FCF, caramelo clase IV).",,,
7500478014613,sintetico,"Mezcla de sémola de maíz [sémola de maíz de grano entero 27% (con germen y cascarilla), sémola de maíz], aceite vegetal, sazonador [maltodextrina, sólidos de la leche, <span class=""allergen"">quesos</span> 2,6%, sal yodada, grasa vegetal, almidón, saborizantes naturales, idénticos al natural y artificial (contienen <span class=""allergen"">cebada</span>), grasa butírica, aceite vegetal, amarillo ocaso FCF y sus lacas, dióxido de silicio, glutamato monosódico, ácido cítrico, cloruro de potasio, leche en polvo, tartrazina y sus lacas, achiote, almidón modificado, fosfato de sodio, ácido láctico, fosfato de potasio, citrato de sodio, triglicéridos de cadena media, <span class=""allergen"">lecitina de soya</span>, sorbato de potasio, ácido fumárico, ácido málico, fosfato tricálcico, ácido ascórbico, tocoferoles], azúcares añadidos (jarabe de maíz), amarillo ocaso FCF y sus lacas, caseinato de sodio, dióxido de silicio, ácido cítrico, mono y diglicéridos.",,,
0758104007820,sintetico,"Coneatedo Benafont Juizzy jamaica (sucralosa (6,6mg/100g), acesulfame K:
Kang1odg) y stevia (0,8mg/100g)), saborizantes, avido tartarico, 'extracto de
NGREDIENTES: Agua Bonafont, polidextrosa (fibra dietetica), acido citrico,
amalica, roja 40, acido malico, caramelo clase IVy azul 1. DECLARACION NUTRIMENTAL
INGREDIENTES: Aqua Bonafont,
polidextrosa (fibra dietetica), acido citrico,
POR T00 m:Contenidio ond
Oo:Grasas totales Og. Grasas",,,
7502233117096,sintetico,"Harina de trigo fortificada (42%), azucar,
avena integral (17%), harina de maiz (17%), trigo integral
(11,5%), miel (2.5%), sal yodada, carbonato de calcio
(antiaglutinante), color caramelo clase N, fosfato trisodico
(antioxidante), saborizante artificial a miel y <span class=""allergen"">almendra</span>.
sulfato de zinc (zinc), ortofosfato ferrico (hierro), amarillo
ocaso (FD",,,
7501206901359,sintetico,"AZÚCARES AÑADIDOS (AZUCAR, GLUCOSA), GRENETINA, ACIDO CITRICO, SABORES ARTIFICIALES Y COLORANTES ARTIFICIALES AZUL, ROJO 40 Y AMARILLO 5.",,,
7737325039486,sintetico,"HARINA DE MAÍZ, ACEITE VEGETAL, SAZONADOR (SAL YODADA, MALTODEXTRINA, ÁCIDO CÍTRICO, AZÚCARES AÑADIDOS (AZÚCAR), GMS, PROTEÍNA VEGETAL (SOYA), LACA (ROJO 40, AMARILLO 6), CEBOLLA, EXTRACTO DE LEVADURA, SABORIZANTES NATURALES E IDÉNTICOS AL NATURAL, BICARBONATO DE SODIO, ACEITE VEGETAL EXTRACTO DE CHILE, INOSINATO DE SODIO, GUANILATO DE SODIO, TBHQ). CONTIENE: SOYA PUEDE CONTENERLECHE, HUEVO, GLUTEN, AMARILLO 5, CACAHUATE.",,,
7501013105735,sintetico,"Agua, Puré de Durazno de Concentrado (21%), Ácido Cítrico, Saborizante Idéntico al Natural a Durazno, Goma Xantana, Stevia (8.9 mg/100 g de producto), Sucralosa (6.1 mg/100 g de producto), Niacina (Vitamina B3), Beta Caroteno Sintético, Vitamina B6 y Vitamina B12.",,,
7501902770525,sintetico,"Isomalt (99g/100g), Saborizante Artificial, <span class=""allergen"">Lecitina de Soya</span> (como desmoldante), Sucralosa (29mg/100g), Dióxido de Titanio y Colorantes Artificiales (Tartrazina y Rojo Allura AC). 

<span class=""allergen"">CONTIENE SOYA</span>, TARTRAZINA Y <span class=""allergen"">SULFITOS</span>. 

CONTIENE ISOMALT, EL CONSUMO EXCESIVO DE ESTE EDULCORANTE PUEDE CAUSAR EFECTOS LAXANTES.",,,
7501020555783,sintetico,"Agua, fructosa, azúcar, grenetina, ácido cítrico, citrato de sodio (regulador de acidez), acesulfame K (22,7mg/100g) y estevia (11,8mg/100g) (Edulcorantes), saborizante artificial, rojo alimentos 3 (colorante), benzoato de sodio y sorbato de potasio (conservadores).",,,
7501040093432,sintetico,"<span class=""allergen"">Yoghurt</span> (Leche Descremada Pasteurizada Leche Descremada Deshidratada, Crema, Azucar Concentrado de Proteína de Leche, Acesulfame k (80mg/100g) y Cultivos Lácticos.) Preparado de Fruta 17% Blueberry 25% y Granola 8% (<span class=""allergen"">Trigo</span>, Uva Pasa y Nuez Almidón Modificado, Azúcar y/o Jarabe de Alta Fructosa Sabor Blueberry Vainilla Granola, Acido Citrico, Sorbato de Potesio, Benzoato de Sodio, Colorantes (Rojo 40 y Azul 1). Contiene 1,8% Grasa de Leche.",,,
7501011151086,sintetico,"<span class=""allergen"">HARINA DE TRIGO</span>, ACEITE VEGETAL [CHILES, SAL YODADA, MALTODEXTRINA, SABCRIZANTES NATURALES, IDÉNTICOS AL NATURALY CLORURO DE POTASIO, ÁCIDO FUMARICO, AZUCARES (DEXTROSA), ROJO ALLURA AC Y SUS LACAS, OLEOR PAPRIKA, GUANILATO DE SODIO, INOSINATO DE SODIO, SAL BICARBONATO DE SODIO, AMARILLO OCASO FCF Y SUS LAS CONTIENE <span class=""allergen"">TRIGO</span> (<span class=""allergen"">GLUTEN</span>). PUEDE CONTENER <span class=""allergen"">LECHE</span>, <span class=""allergen"">SOYA</span> Y OTROS <span class=""allergen"">CEREALES QUE CONTIENEN GLUTEN</span>.",,,
