termino,codigo,bloque,forma
extracto de semillas de bixa orellana,E160b,naturales,nombre_fuente
complejos cupricos de clorofila,E141,naturales,nombre_sustancia
caramelo al sulfito de amonio,E150,fuera_de_eje,nombre_sustancia
extracto de papa dulce morada,E163,naturales,nombre_fuente
extracto de tegumento de uva,E163,naturales,nombre_fuente
extracto de zanahoria morada,E163,naturales,nombre_fuente
extracto de campanilla azul,E163,naturales,nombre_fuente
extracto de zanahoria negra,E163,naturales,nombre_fuente
extracto de camote morado,E163,naturales,nombre_fuente
extracto de cempazuchitl,E161b,naturales,nombre_fuente
extracto de coccus cacti,E120,naturales,nombre_fuente
oxido de hierro amarillo,E172,naturales,nombre_sustancia
beta caroteno sintetico,E160a-i,sinteticos,nombre_sustancia
extracto de cempasuchil,E161b,naturales,nombre_fuente
extracto de maiz morado,E163,naturales,nombre_fuente
extracto de piel de uva,E163,naturales,nombre_fuente
extracto de rabano rojo,E163,naturales,nombre_fuente
amarillo de quinoleina,E104,sinteticos,nombre_sustancia
anaranjado alimentos 6,E160e,sinteticos,nombre_sustancia
anaranjado alimentos 7,E160f,sinteticos,nombre_sustancia
concentrado de betabel,E162,naturales,nombre_fuente
extracto de cochinilla,E120,naturales,nombre_fuente
extracto de col morada,E163,naturales,nombre_fuente
extracto de espirulina,SPIRULINA,naturales,nombre_fuente
oleorresina de curcuma,E100,naturales,nombre_sustancia
oleorresina de paprika,E160c,naturales,nombre_fuente
extracto de betalaina,E162,naturales,nombre_fuente
extracto de zanahoria,E160a,naturales,nombre_fuente
oxido de hierro negro,E172,naturales,nombre_sustancia
verde acido brillante,E142,sinteticos,nombre_sustancia
amarillo alimentos 3,E110,sinteticos,nombre_sustancia
amarillo alimentos 4,E102,sinteticos,nombre_sustancia
amarillo alimentos 5,E107,sinteticos,nombre_sustancia
anaranjado natural 4,E160b,naturales,nombre_sustancia
beta apo 8 carotenal,E160e,sinteticos,nombre_sustancia
carmin de cochinilla,E120,naturales,nombre_fuente
concentrado de sauco,E163,naturales,nombre_fuente
extracto de pimenton,E160c,naturales,nombre_fuente
oxido de hierro rojo,E172,naturales,nombre_sustancia
pigmento amarillo 42,E172,naturales,nombre_sustancia
rojo raiz de betabel,E162,naturales,nombre_sustancia
amarillo crepusculo,E110,sinteticos,nombre_sustancia
amarillo quinoleina,E104,sinteticos,nombre_sustancia
clorofilina cuprica,E141,naturales,nombre_sustancia
extracto de achiote,E160b,naturales,nombre_fuente
extracto de betabel,E162,naturales,nombre_fuente
extracto de curcuma,E100,naturales,nombre_fuente
extracto de hibisco,E163,naturales,nombre_fuente
extracto de jamaica,E163,naturales,nombre_fuente
extracto de paprika,E160c,naturales,nombre_fuente
fd&c amarillo no. 5,E102,sinteticos,nombre_sustancia
fd&c amarillo no. 6,E110,sinteticos,nombre_sustancia
amarillo natural 6,E164,naturales,nombre_sustancia
caramelo clase iii,E150,fuera_de_eje,nombre_sustancia
colorante caramelo,E150,fuera_de_eje,nombre_sustancia
dioxido de titanio,E171,naturales,nombre_sustancia
extracto de annato,E160b,naturales,nombre_fuente
extracto de rabano,E163,naturales,nombre_fuente
azafran de indias,E100,naturales,nombre_sustancia
caramelo clase iv,E150,fuera_de_eje,nombre_sustancia
curcuma turmerico,E100,naturales,nombre_sustancia
pigmento blanco 6,E171,naturales,nombre_sustancia
pigmento negro 11,E172,naturales,nombre_sustancia
pigmento rojo 101,E172,naturales,nombre_sustancia
rojo alimentos 14,E127,sinteticos,nombre_sustancia
rojo alimentos 17,E129,sinteticos,nombre_sustancia
rojo cochinilla a,E124,sinteticos,nombre_sustancia
rojo de remolacha,E162,naturales,nombre_sustancia
verde alimentos 3,E143,sinteticos,nombre_sustancia
azul alimentos 1,E132,sinteticos,nombre_sustancia
azul alimentos 2,E133,sinteticos,nombre_sustancia
caramelo amonico,E150,fuera_de_eje,nombre_sustancia
carmin de indigo,E132,sinteticos,nombre_sustancia
caroteno natural,E160a,naturales,nombre_sustancia
carotenos mixtos,E160a,naturales,nombre_sustancia
curcuma en polvo,E100,naturales,nombre_sustancia
fd&c rojo no. 40,E129,sinteticos,nombre_sustancia
fd&c verde no. 3,E143,sinteticos,nombre_sustancia
grana cochinilla,E120,naturales,nombre_fuente
oxidos de hierro,E172,naturales,nombre_sustancia
polvo de betabel,E162,naturales,nombre_sustancia
rojo alimentos 3,E122,sinteticos,nombre_sustancia
rojo alimentos 7,E124,sinteticos,nombre_sustancia
acido carminico,E120,naturales,nombre_sustancia
amarillo fd&c 5,E102,sinteticos,nombre_sustancia
amarillo fd&c 6,E110,sinteticos,nombre_sustancia
amarillo num. 5,E102,sinteticos,nombre_sustancia
