codigo,clase,termino,en_vocabulario_off,motivo_no_cubierto,off_mandatory_class,n_terminos_off_es,detecciones,P1_se_usa_en_etiqueta_mx,P2_declara_colorante,P3_codigo_correcto,P4_clase_correcta,comentario
E102,sintetico,amarillo 5,True,,False,8,452,,,,,
E129,sintetico,rojo 40,True,,False,7,388,,,,,
E102,sintetico,tartrazina,True,,False,8,387,,,,,
E110,sintetico,amarillo 6,True,,False,10,299,,,,,
E129,sintetico,rojo allura,True,,False,7,251,,,,,
E110,sintetico,amarillo ocaso,True,,False,10,221,,,,,
E120,carmin,carmin,True,,True,6,213,,,,,
E133,sintetico,azul 1,False,sin_sinonimo,False,7,198,,,,,
E133,sintetico,azul brillante,True,,False,7,144,,,,,
E100,natural_botanico,curcuma,False,sin_sinonimo,False,3,78,,,,,
E171,mineral_inorganico,dioxido de titanio,True,,False,4,46,,,,,
E132,sintetico,azul 2,False,sin_sinonimo,False,5,40,,,,,
E160b,natural_botanico,achiote,True,,False,6,39,,,,,
E160a,natural_botanico,beta caroteno,False,sin_sinonimo,True,19,37,,,,,
E160c,natural_botanico,oleorresina de paprika,False,sin_sinonimo,False,10,37,,,,,
E100,natural_botanico,curcumina,True,,False,3,33,,,,,
E132,sintetico,indigotina,True,,False,5,31,,,,,
E170,mineral_inorganico,carbonato de calcio,True,,True,8,30,,,,,
E102,sintetico,amarillo no. 5,False,sin_sinonimo,False,8,26,,,,,
E127,sintetico,rojo 3,False,sin_sinonimo,False,3,24,,,,,
E129,sintetico,rojo no. 40,False,sin_sinonimo,False,7,21,,,,,
E160b,natural_botanico,annatto,False,sin_sinonimo,False,6,18,,,,,
E160c,natural_botanico,extracto de paprika,True,,False,10,18,,,,,
E160a,natural_botanico,caroteno,False,sin_sinonimo,True,19,17,,,,,
E110,sintetico,amarillo no. 6,False,sin_sinonimo,False,10,16,,,,,
E133,sintetico,azul no. 1,False,sin_sinonimo,False,7,14,,,,,
E101,natural_botanico,vitamina b2,True,,False,10,13,,,,,
E160b,natural_botanico,norbixina,True,,False,6,13,,,,,
E160c,natural_botanico,paprika,False,sin_sinonimo,False,10,12,,,,,
E160a,natural_botanico,betacaroteno,True,,True,19,11,,,,,
E101,natural_botanico,riboflavina,True,,False,10,10,,,,,
E163,natural_botanico,antocianinas,True,,False,15,8,,,,,
E122,sintetico,azorrubina,True,,False,10,7,,,,,
E132,sintetico,azul no. 2,False,sin_sinonimo,False,5,7,,,,,
E122,sintetico,carmoisina,True,,False,10,6,,,,,
E129,sintetico,fd&c rojo 40,False,sin_sinonimo,False,7,6,,,,,
SPIRULINA,natural_botanico,espirulina,False,sin_entrada,False,0,6,,,,,
E102,sintetico,fd&c amarillo no. 5,False,sin_sinonimo,False,8,5,,,,,
E160a,natural_botanico,extracto de zanahoria,False,sin_sinonimo,True,19,5,,,,,
E160c,natural_botanico,extracto de pimenton,True,,False,10,5,,,,,
E102,sintetico,fd&c amarillo 5,False,sin_sinonimo,False,8,4,,,,,
E110,sintetico,fd&c amarillo no. 6,False,sin_sinonimo,False,10,4,,,,,
E120,carmin,extracto de cochinilla,False,sin_sinonimo,True,6,4,,,,,
E160a,natural_botanico,carotenos,False,sin_sinonimo,True,19,4,,,,,
E163,natural_botanico,extracto de piel de uva,False,sin_sinonimo,False,15,4,,,,,
E124,sintetico,ponceau 4r,True,,False,3,3,,,,,
E127,sintetico,eritrosina,True,,False,3,3,,,,,
E129,sintetico,ci 16035,False,sin_sinonimo,False,7,3,,,,,
E140,natural_botanico,clorofilina,False,sin_sinonimo,False,10,3,,,,,
E140,natural_botanico,clorofila,False,sin_sinonimo,False,10,3,,,,,
E160b,natural_botanico,extracto de achiote,False,sin_sinonimo,False,6,3,,,,,
E120,carmin,carmin de cochinilla,False,sin_sinonimo,True,6,2,,,,,
E120,carmin,acido carminico,True,,True,6,2,,,,,
E120,carmin,rojo carmin,False,sin_sinonimo,True,6,2,,,,,
