sin,codigo_e,clase,forma_oficial,en_off_bajo_su_codigo,en_off_en_cualquier_entrada,en_nuestro_diccionario,n_formas_off_para_ese_codigo,nota,categoria,cubierta_por
SIN100(i),E100,natural_botanico,curcuma (raiz de curcuma longa l.),False,False,False,3,,ya_cubierta,curcuma
SIN100(i),E100,natural_botanico,temo e-lamag,False,False,False,3,,falso_negativo_real,
SIN101(i),E101,natural_botanico,riboflavina,True,True,False,10,,falso_negativo_real,
SIN101(i),E101,natural_botanico,lactoflavina,True,True,False,10,,falso_negativo_real,
SIN101(ii),E101,natural_botanico,riboflavina-5'-fosfato de sodio,False,False,False,10,,falso_negativo_real,
SIN101(ii),E101,natural_botanico,riboflavina 5 fosfato de sodio,False,False,False,10,,falso_negativo_real,
SIN110,E110,sintetico,amarillo ocaso fcf,False,True,False,10,,ya_cubierta,amarillo ocaso
SIN120,E120,carmin,carmin cochinilla,True,True,False,6,,ya_cubierta,cochinilla
SIN127,E127,sintetico,rojo 3 fd&c,False,False,False,3,"Numeral dejado insubsistente por acuerdo del 28/05/2026, 24 meses de plazo.",ya_cubierta,rojo 3
SIN127,E127,sintetico,rojo fd&c3,False,False,False,3,"Numeral dejado insubsistente por acuerdo del 28/05/2026, 24 meses de plazo.",falso_negativo_real,
SIN129,E129,sintetico,rojo allura ac,True,True,False,7,,ya_cubierta,rojo allura
SIN129,E129,sintetico,rojo no 40 fd&c,False,False,False,7,,falso_negativo_real,
SIN132,E132,sintetico,azul no. 2 fd&c,False,False,False,5,"azul alimentos 1 es INDIGOTINA, no azul brillante. La numeracion mexicana va invertida respecto de la FD&C.",ya_cubierta,azul no. 2
SIN132,E132,sintetico,azul fd&c 2,True,True,False,5,"azul alimentos 1 es INDIGOTINA, no azul brillante. La numeracion mexicana va invertida respecto de la FD&C.",falso_negativo_real,
SIN133,E133,sintetico,azul brillante fcf,True,True,False,7,azul alimentos 2 es AZUL BRILLANTE. Ver SIN132.,ya_cubierta,azul brillante
SIN133,E133,sintetico,azul no 1 fd&c,False,False,False,7,azul alimentos 2 es AZUL BRILLANTE. Ver SIN132.,falso_negativo_real,
SIN133,E133,sintetico,azul fd&c 1,True,True,False,7,azul alimentos 2 es AZUL BRILLANTE. Ver SIN132.,falso_negativo_real,
SIN140,E140,natural_botanico,clorofilinas,True,True,False,10,,falso_negativo_real,
