code,producto,forma_oficial,sin,codigo_e,clase,ya_en_tags
0014100085478,GOLDFISH,extracto de annato,SIN160(b),E160b,natural_botanico,False
0036731106018,Gatorade Sabor Naranja,amarillo ocaso fcf,SIN110,E110,sintetico,False
0036731106025,Lime,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
0036731106049,Gatorade Sabor Uva,rojo allura ac,SIN129,E129,sintetico,True
0036731106049,Gatorade Sabor Uva,azul brillante fcf,SIN133,E133,sintetico,True
0036731106063,gatorade rojo 600,rojo allura ac,SIN129,E129,sintetico,True
0036731136916,Gatorade Fierce,azul brillante fcf,SIN133,E133,sintetico,True
0036731140067,Gatorade Polvo sabor Ponche de Frutas,rojo allura ac,SIN129,E129,sintetico,True
0036731140067,Gatorade Polvo sabor Ponche de Frutas,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
0036731321008,Gatorade Sabor Naranja,amarillo ocaso fcf,SIN110,E110,sintetico,False
0036731322005,Bebida Gatorade sabor limonada,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
0036731324009,Bebida Gatorade sabor uva,rojo allura ac,SIN129,E129,sintetico,True
0036731324009,Bebida Gatorade sabor uva,azul brillante fcf,SIN133,E133,sintetico,True
0036731326003,Punch de fruta,rojo allura ac,SIN129,E129,sintetico,True
0036731328007,Fresandia,rojo allura ac,SIN129,E129,sintetico,True
0036731451002,Gatorade Polvo sabor naranja,amarillo ocaso fcf,SIN110,E110,sintetico,False
0036731501004,Gatorade naranja 500 ml,amarillo ocaso fcf,SIN110,E110,sintetico,False
0036731506009,Gatorade sabor Ponche de Frutas,rojo allura ac,SIN129,E129,sintetico,True
0038000019210,Galletas rellenas pop tarts,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
0038000318108,POP TARTS FROSTED CHERRY NATURALLY FLAVORED,amarillo ocaso fcf,SIN110,E110,sintetico,True
0038000318108,POP TARTS FROSTED CHERRY NATURALLY FLAVORED,rojo allura ac,SIN129,E129,sintetico,True
0038000318108,POP TARTS FROSTED CHERRY NATURALLY FLAVORED,azul brillante fcf,SIN133,E133,sintetico,True
0041580750008,CEREZAS DESHUESADAS AL MARRASQUINO,rojo allura ac,SIN129,E129,sintetico,True
0070847017332,Monster Punch,rojo allura ac,SIN129,E129,sintetico,True
0076150601336,ACT II sabor Mantequilla,extracto de annato,SIN160(b),E160b,natural_botanico,False
0078742091976,MOSTAZA AMARILLA,curcuma turmerico,SIN100(i),E100,natural_botanico,False
0078895128789,SOY SAUCE,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
0078895700015,HOISIN SAUCE,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
0850697002012,Barquillos,amarillo ocaso fcf,SIN110,E110,sintetico,True
0850697002456,Abanico Mac'Ma,amarillo ocaso fcf,SIN110,E110,sintetico,True
0850697002456,Abanico Mac'Ma,amarillo fd&c 6,SIN110,E110,sintetico,True
0850697002470,Grofenata,amarillo ocaso fcf,SIN110,E110,sintetico,True
0850697002517,Escoses,amarillo ocaso fcf,SIN110,E110,sintetico,True
0850697002524,Selecciones,amarillo ocaso fcf,SIN110,E110,sintetico,True
0850697002661,CRISPY WAFER FAN,amarillo ocaso fcf,SIN110,E110,sintetico,True
0850697002661,CRISPY WAFER FAN,amarillo fd&c 6,SIN110,E110,sintetico,True
0850697002722,Real,amarillo ocaso fcf,SIN110,E110,sintetico,True
0869774000124,"Maika, Veggie Burger, Carrot Orange",annato norbixina,SIN160(b),E160b,natural_botanico,False
0884912112217,HONEY BUNCHES OF OATS STRAWBERRIES,extracto de annato,SIN160(b),E160b,natural_botanico,False
2000000073649,Gatorade Perform,amarillo ocaso fcf,SIN110,E110,sintetico,False
3168930009191,Doritos Nachos sabor Queso,amarillo ocaso fcf,SIN110,E110,sintetico,False
7500478002801,Cremax sabor a chocolate,amarillo ocaso fcf,SIN110,E110,sintetico,False
7500478002801,Cremax sabor a chocolate,azul brillante fcf,SIN133,E133,sintetico,True
7500478002818,Cremax sabor fresa,amarillo ocaso fcf,SIN110,E110,sintetico,False
7500478002818,Cremax sabor fresa,rojo allura ac,SIN129,E129,sintetico,True
7500478002818,Cremax sabor fresa,azul brillante fcf,SIN133,E133,sintetico,True
7500478002894,Emperador sabor a chocolate,amarillo ocaso fcf,SIN110,E110,sintetico,False
7500478002894,Emperador sabor a chocolate,rojo allura ac,SIN129,E129,sintetico,True
7500478002894,Emperador sabor a chocolate,azul brillante fcf,SIN133,E133,sintetico,True
7500478003006,Doradas de Marías,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7500478003600,Sabritones Rodacas,amarillo ocaso fcf,SIN110,E110,sintetico,False
7500478004690,Buenos Días Galletas Quaker con Chocolate,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501000142705,Cuernitos,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501000617432,Arcoiris,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501000617432,Arcoiris,rojo allura ac,SIN129,E129,sintetico,True
7501000617432,Arcoiris,azul brillante fcf,SIN133,E133,sintetico,True
7501000628377,Marias Doradas,caramelo clase i,SIN150(a),E150,fuera_de_eje,False
7501000635306,Chokis clásica,caramelo clase i,SIN150(a),E150,fuera_de_eje,True
7501000662739,Chocolatines,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501000662739,Chocolatines,rojo allura ac,SIN129,E129,sintetico,True
7501000662739,Chocolatines,azul brillante fcf,SIN133,E133,sintetico,True
7501000673186,Maravillas clásicas,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501000673193,Florentinas sabor fresa,rojo allura ac,SIN129,E129,sintetico,True
7501002612114,Cheez Whiz,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501002612213,Cheez Whiz Jalapeño,extracto de annato,SIN160(b),E160b,natural_botanico,False
7501003393050,Búfalo clasica,rojo allura ac,SIN129,E129,sintetico,False
7501003393180,Salsa Botanera,amarillo ocaso fcf,SIN110,E110,sintetico,False
7501005102667,Soya + jugo de naranja,anaranjado alimentos 5,SIN160a(i),E160a,sintetico,False
7501005102667,Soya + jugo de naranja,anaranjado alimentos 5,SIN160a(ii),E160a,natural_botanico,False
