codigo,clase,sujeto_a_regla,n,pct_con_codigo,pct_con_clase,pct_recuperado
E102,sintetico,False,876,1.1,34.0,81.1
E129,sintetico,False,672,1.5,35.7,78.1
E110,sintetico,False,541,1.5,32.3,54.3
E133,sintetico,False,359,3.1,34.3,36.5
E120,carmin,True,224,1.3,32.1,4.5
E100,natural_botanico,False,85,3.5,100.0,25.9
E132,sintetico,False,78,5.1,44.9,41.0
E160a,natural_botanico,True,60,0.0,100.0,0.0
E160b,natural_botanico,False,49,0.0,100.0,0.0
E160c,natural_botanico,False,36,2.8,100.0,0.0
E171,mineral_inorganico,False,31,19.4,100.0,90.3
E127,sintetico,False,29,0.0,34.5,10.3
E122,sintetico,False,14,0.0,50.0,64.3
E163,natural_botanico,False,8,0.0,100.0,87.5
E101,natural_botanico,False,7,0.0,100.0,42.9
SPIRULINA,natural_botanico,False,6,0.0,0.0,0.0
E140,natural_botanico,False,5,0.0,100.0,80.0
E124,sintetico,False,4,25.0,50.0,75.0
E153,natural_botanico,False,3,0.0,33.3,33.3
E170,mineral_inorganico,True,3,0.0,100.0,33.3
E161b,natural_botanico,False,2,0.0,50.0,0.0
E160d,natural_botanico,False,2,0.0,0.0,0.0
E141,natural_botanico,False,1,100.0,100.0,100.0
