codigo,clase,sujeto_a_regla,n,pct_con_codigo,pct_con_clase,pct_recuperado
E160a,natural_botanico,True,1028,5.9,100.0,0.0
E160c,natural_botanico,False,501,5.2,100.0,0.0
E120,carmin,True,499,4.0,85.4,67.9
E100,natural_botanico,False,337,6.5,100.0,78.3
E102,sintetico,False,232,31.9,49.6,75.9
E129,sintetico,False,179,27.9,46.4,77.7
E110,sintetico,False,160,23.1,43.8,58.8
SPIRULINA,natural_botanico,False,156,0.0,5.1,0.0
E133,sintetico,False,145,16.6,62.8,68.3
E163,natural_botanico,False,124,4.8,100.0,87.9
E160b,natural_botanico,False,99,11.1,100.0,0.0
E162,natural_botanico,False,64,4.7,100.0,81.2
E101,natural_botanico,False,62,4.8,100.0,79.0
E171,mineral_inorganico,False,62,19.4,100.0,90.3
E161b,natural_botanico,False,61,1.6,83.6,0.0
E140,natural_botanico,False,60,1.7,100.0,33.3
E153,natural_botanico,False,37,2.7,73.0,86.5
E127,sintetico,False,32,12.5,18.8,31.2
E132,sintetico,False,23,21.7,26.1,65.2
E170,mineral_inorganico,True,17,11.8,100.0,94.1
E172,mineral_inorganico,False,16,18.8,75.0,87.5
E122,sintetico,False,15,20.0,60.0,60.0
E131,sintetico,False,13,0.0,76.9,53.8
E160d,natural_botanico,False,11,0.0,63.6,0.0
E124,sintetico,False,10,20.0,50.0,70.0
E143,sintetico,False,7,0.0,0.0,0.0
E141,natural_botanico,False,7,28.6,57.1,57.1
E151,sintetico,False,4,0.0,50.0,25.0
E104,sintetico,False,2,50.0,0.0,100.0
