codigo,clase,termino,en_vocab_off_mx,n_mx,pct_recuperado_mx,n_es,pct_recuperado_es,dif_pp,estable
E120,carmin,carmin,True,213,4.2,243,65.4,61.2,False
E110,sintetico,amarillo ocaso,True,221,20.4,71,42.3,21.9,False
E171,mineral_inorganico,dioxido de titanio,True,46,78.3,68,91.2,12.9,True
E102,sintetico,tartrazina,True,387,86.0,126,74.6,-11.4,True
E129,sintetico,rojo 40,True,388,82.2,56,71.4,-10.8,True
E100,natural_botanico,curcuma,False,77,1.3,99,11.1,9.8,True
E100,natural_botanico,curcumina,True,33,81.8,326,91.1,9.3,True
E110,sintetico,amarillo 6,True,299,81.6,46,73.9,-7.7,True
E133,sintetico,azul 1,False,198,4.5,26,7.7,3.2,True
E102,sintetico,amarillo 5,True,452,79.9,45,77.8,-2.1,True
E133,sintetico,azul brillante,True,144,84.7,115,84.3,-0.4,True
E129,sintetico,rojo allura,True,251,80.1,75,80.0,-0.1,True
E160a,natural_botanico,beta caroteno,False,36,0.0,153,0.0,0.0,True
E127,sintetico,rojo 3,False,24,0.0,21,0.0,0.0,True
