codigo,clase,termino,en_vocab_off,n,recuperadas,pct_recuperado
E129,sintetico,rojo 40,True,386,317,82.1
E102,sintetico,amarillo 5,True,370,314,84.9
E102,sintetico,tartrazina,True,359,317,88.3
E110,sintetico,amarillo 6,True,299,244,81.6
E129,sintetico,rojo allura,True,251,201,80.1
E110,sintetico,amarillo ocaso,True,221,45,20.4
E120,carmin,carmin,True,213,9,4.2
E133,sintetico,azul 1,False,198,9,4.5
E133,sintetico,azul brillante,True,144,122,84.7
E100,natural_botanico,curcuma,False,77,1,1.3
E160b,natural_botanico,extracto de annato,False,75,0,0.0
E171,mineral_inorganico,dioxido de titanio,True,46,36,78.3
E132,sintetico,azul 2,False,40,4,10.0
E160b,natural_botanico,achiote,True,39,0,0.0
E160c,natural_botanico,oleorresina de paprika,False,37,0,0.0
E160a,natural_botanico,beta caroteno,False,36,0,0.0
E100,natural_botanico,curcumina,True,33,27,81.8
E132,sintetico,indigotina,True,31,27,87.1
E124,sintetico,rojo 6,False,26,0,0.0
E127,sintetico,rojo 3,False,24,0,0.0
E102,sintetico,amarillo no. 5,False,23,8,34.8
E129,sintetico,rojo no. 40,False,21,1,4.8
E160b,natural_botanico,annatto,False,18,0,0.0
E160c,natural_botanico,extracto de paprika,True,18,0,0.0
E160a,natural_botanico,caroteno,False,17,0,0.0
E110,sintetico,amarillo no. 6,False,16,1,6.2
E133,sintetico,azul no. 1,False,14,0,0.0
E160b,natural_botanico,norbixina,True,13,0,0.0
E160e,sintetico,anaranjado alimentos 6,False,12,0,0.0
E110,sintetico,amarillo fd&c 6,True,12,12,100.0
E160c,natural_botanico,paprika,False,12,0,0.0
E102,sintetico,amarillo fd&c 5,True,11,11,100.0
E160a,natural_botanico,betacaroteno,True,11,0,0.0
E160a-i,sintetico,beta caroteno sintetico,False,10,0,0.0
E120,carmin,rojo natural 4,False,9,0,0.0
E102,sintetico,amarillo fd&c5,False,8,1,12.5
E163,natural_botanico,antocianinas,True,8,7,87.5
E132,sintetico,azul no. 2,False,7,1,14.3
E122,sintetico,azorrubina,True,7,4,57.1
E102,sintetico,amarillo alimentos 4,False,6,0,0.0
E160e,sintetico,beta apo 8 carotenal,False,6,0,0.0
E129,sintetico,fd&c rojo 40,False,6,3,50.0
E122,sintetico,carmoisina,True,6,5,83.3
E110,sintetico,amarillo alimentos 3,False,6,0,0.0
E160c,natural_botanico,extracto de pimenton,True,5,0,0.0
E102,sintetico,fd&c amarillo no. 5,False,5,5,100.0
E129,sintetico,rojo alimentos 17,False,5,0,0.0
E160a,natural_botanico,extracto de zanahoria,False,5,0,0.0
E162,natural_botanico,rojo betabel,False,5,0,0.0
E133,sintetico,azul alimentos 2,False,4,0,0.0
E122,sintetico,rojo d&c 5,False,4,0,0.0
E120,carmin,extracto de cochinilla,False,4,0,0.0
E110,sintetico,fd&c amarillo no. 6,False,4,3,75.0
E160a,natural_botanico,carotenos,False,4,0,0.0
E163,natural_botanico,extracto de piel de uva,False,4,0,0.0
E102,sintetico,fd&c amarillo 5,False,4,2,50.0
E129,sintetico,ci 16035,False,3,0,0.0
E124,sintetico,ponceau 4r,True,3,2,66.7
E127,sintetico,eritrosina,True,3,3,100.0
E160b,natural_botanico,extracto de achiote,False,3,0,0.0
E140,natural_botanico,clorofila,False,3,3,100.0
E129,sintetico,rojo fd&c40,False,3,0,0.0
E122,sintetico,rojo alimentos 3,False,3,0,0.0
E160d,natural_botanico,licopeno,True,2,0,0.0
E162,natural_botanico,rojo remolacha,True,2,2,100.0
E160b,natural_botanico,anaranjado natural 4,False,2,0,0.0
E161b,natural_botanico,luteina,True,2,0,0.0
E129,sintetico,fd&c rojo no. 40,False,2,0,0.0
E171,mineral_inorganico,pigmento blanco 6,False,2,0,0.0
E129,sintetico,rojo curry,False,2,0,0.0
E120,carmin,extracto de coccus cacti,False,2,0,0.0
E120,carmin,acido carminico,True,2,0,0.0
E120,carmin,carmin de cochinilla,False,2,0,0.0
E120,carmin,rojo carmin,False,2,0,0.0
E127,sintetico,rojo no. 3,False,2,0,0.0
E133,sintetico,ci 42090,False,2,0,0.0
E100,natural_botanico,extracto de curcuma,True,1,1,100.0
E102,sintetico,ci 19140,False,1,0,0.0
E100,natural_botanico,oleorresina de curcuma,False,1,0,0.0
E120,carmin,carmines,True,1,1,100.0
E110,sintetico,sunset yellow,False,1,1,100.0
E102,sintetico,amarillo num. 5,False,1,0,0.0
E100,natural_botanico,curcuma turmerico,False,1,0,0.0
E124,sintetico,ci 16255,False,1,1,100.0
E122,sintetico,ci 14720,False,1,0,0.0
E133,sintetico,fd&c azul no. 1,False,1,0,0.0
E129,sintetico,allura red,False,1,1,100.0
E141,natural_botanico,clorofilina cuprica,False,1,1,100.0
E140,natural_botanico,verde natural 3,False,1,0,0.0
E160b,natural_botanico,extracto de semillas de bixa orellana,False,1,0,0.0
E143,sintetico,verde fd&c3,False,1,1,100.0
E161b,natural_botanico,extracto de cempazuchitl,False,1,0,0.0
E163,natural_botanico,extracto de jamaica,False,1,0,0.0
E164,natural_botanico,amarillo natural 6,False,1,0,0.0
E163,natural_botanico,extracto de zanahoria morada,False,1,0,0.0
