relevancia,titulo,anio,revista,idioma,paises,citas,doi,bloque,consulta,fuente_api,url,revisado,pertinente,nota,resumen
22,Actualización de la Norma Oficial Mexicana NOM-051-SCFI/SSA1 en la Industria de Alimentos y Bebidas,2021,Journal Boliviano de Ciencias,es,"EC,MX",9,10.52428/20758944.v17iespecial.1,B_aditivos_envasados_mx,"""NOM-051"" etiquetado",OpenAlex,https://openalex.org/W3163624374,,,,"El consumo de alimentos y bebidas procesadas ha causado, en la población mexicana, un aumento en los índices de sobrepeso y obesidad, y con ello el desarrollo de enfermedades crónicas como diabetes o hipertensión, entre otras. El gobierno mexicano ha implementado medidas como la modificación de la Norma Oficial Mexicana NOM-051-SCFI/SSA1-2010, la cual plantea la aplicación de un etiquetado frontal que incluye una advertencia acerca del contenido en exceso de ingredientes perjudiciales para la salud. Países como Chile, Perú, Costa Rica y Brasil han implementado medidas similares con el fin de erradicar las enfermedades crónicas que se han desarrollado con el paso de los años, como el aumento excesivo de diabetes mellitus, obesidad mórbida e hipertensión en adultos y, principalmente, en niños, gracias a los hábitos alimenticios y al consumo excesivo de alimentos ricos en grasas, azúcares o sodio, entre otros. En México, con este nuevo etiquetado frontal, se espera disminuir los casos de enfermedades crónicas no transmisibles y, a su vez, aumentar la concientización en la elección de productos alimenticios, brindando información comercial y sanitaria sobre el contenido nutrimental e ingredientes que puedan representar un riesgo para la salud de los consumidores por medio de un etiquetado claro, veraz y fácil de entender."
22,Análisis de los argumentos recibidos en la consulta pública para el etiquetado frontal de advertencia mexicano,2023,Salud Pública de México,es,MX,3,10.21149/14908,B_aditivos_envasados_mx,"""NOM-051"" etiquetado",OpenAlex,https://openalex.org/W4389491130,,,,"OBJETIVO: Analizar los diferentes elementos en los argumentos recibidos durante la consulta pública del Proyecto de Modificación a la Norma Oficial Mexicana-051 (NOM-051), con énfasis en la protección de niñas, niños y adolescentes (NNA). Material y métodos. Se analizó la información de 1 095 argumentos, se identificó a los actores clave y se realizó un análisis de contenido para conocer la postura, a favor o en contra de los numerales relacionados con la protección a NNA. El análisis se hizo en el programa NVivo. RESULTADOS: Se identificaron 781 actores clave. Durante la consulta pública se identificaron cuatro tácticas del sector privado para interferir en el proceso de la NOM-051: a) grupos fachada que enviaron comentarios en contra de la NOM-051; b) cuestionar la evidencia científica sobre la relación del consumo de edulcorantes y el desarrollo de obesidad en escolares; c) cuestionar la efectividad del uso del etiquetado de advertencia para edulcorantes; d) responsabilizar a los individuos de su enfermedad. Conclusión. La interferencia del sector privado en el proceso de implementación de la NOM-051 fue evidente en los argumentos enviados durante la consulta pública."
22,Caracterización y encuadre noticioso del cabildeo en México,2022,Global Media Journal México,es,MX,0,10.29105/gmjmx19.36-467,B_aditivos_envasados_mx,"""NOM-051"" etiquetado",OpenAlex,https://openalex.org/W4294904230,,,,"Utilizando la teoría del framing en un estudio empírico de caso, se analiza la caracterización y el encuadre que los medios de comunicación mexicanos hicieron sobre el cabildeo en torno a la política de etiquetado frontal de alimentos y bebidas o NOM-051. Aunque existe una idea de cómo los medios de comunicación retratan este controvertido tema y quienes lo practican más intensamente, no existen suficientes investigaciones que describan y expliquen cómo se presenta la política de los grupos de interés a las audiencias de México. Precisamente, los hallazgos cualitativos de este artículo exploratorio son aportes al estudio del cabildeo y la política de los grupos de interés desde una perspectiva de la comunicación política, al comprender que este fenómeno no solo se caracteriza de una manera incompleta por los medios, sino que también éstos lo hacen utilizando marcos que resaltan el conflicto y el escándalo por sobre aspectos positivos de la gestión de los distintos intereses. Así, este trabajo cualitativo es el inicio de una agenda de investigación que busca comprender no solo el encuadre de los medios sobre el cabildeo, sino que también indague la percepción de la opinión pública al respecto y cuáles son sus impactos..."
20,Food additives in Latin America: a descriptive analysis of the packaged food supply in five countries,2025,Globalization and Health,en,"BR,CL,CO,EC,MX,US",0,10.1186/s12992-025-01130-7,B_aditivos_envasados_mx,"""food additives"" ""packaged food supply""",OpenAlex,https://openalex.org/W4415788377,,,,"BACKGROUND: Latin America is distinguished by diverse regulatory frameworks and evolving dietary patterns, including the weakening of traditional diets and the increasing consumption of ultra-processed foods (UPFs). Predominantly produced by transnational corporations, UPFs rely heavily on food additives to achieve desirable sensory properties (e.g., flavor, color), ensure food safety, and extend shelf life. ​Over the past decade, research has increasingly shown that higher consumption of UPFs is associated with poor health outcomes, and food additives have emerged as a potential mechanism underlying this association. However, few studies have systematically analyzed the presence of food additives in the food supply. This study aimed to assess the distribution and patterns of food additives in packaged foods from five Latin American countries. METHODS: Data were obtained from packaged foods and beverages sold in supermarkets in Brazil (2017; n = 9,673), Mexico (2017; n = 15,846), Chile (2018; n = 13,913), Colombia (2018; n = 8,282), and Ecuador (2019; n = 2,083). We used the list of ingredients to search for food additives described in the Codex Alimentarius. We assessed the prevalence of specific food additives, categorized their functional classes, and applied exploratory factor analysis to identify patterns of food additive use, overall and in each country. RESULTS: Food additives were present in over 75% of the studied products, ranging from 76.1% in Colombia to 84.0% in "
18,Betalains: The main bioactive compounds of Opuntia spp and their possible health benefits in the Mediterranean diet,2023,Mediterranean Journal of Nutrition and Metabolism,en,"ES,IT,MX",3,10.3233/mnm-230027,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,https://openalex.org/W4379137669,,,,"Betalains are water-soluble, nitrogen-containing vacuolar pigment and can be divided into two subclasses: the yellow – orange betaxanthins and the red – violet betacyanin. These pigments can be found mainly in Latin America, but also in some parts of Asia, Africa, Australia and in the Mediterranean area. In this work an overview related with the status of research about betalains extracted from Opuntia spp and the enforces made to evaluate their positive incidence in the human body is provided. Several studies enhance their anticancer, anti-inflammatory and antioxidant properties. They also exhibit antimicrobial and antidiabetic effect. Taking into account these properties, betalains seem to be a promising natural alternative as a colorant to replace the synthetic ones in the food additive industry. In addition, the use of Opuntia spp fruits as possible colorant sources in the Food Industry, may contribute positively to the sustainable development in semi-arid regions."
18,EVALUACIÓN DE UN ADITIVO ALIMENTICIO COMERCIAL EN EL DESEMPEÑO PRODUCTIVO DE LA TILAPIA DEL NILO CULTIVADA EN JAULAS FLOTANTES,2024,Anales Científicos,en,MX,0,10.21704/ac.v85i1.858,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,https://openalex.org/W4404706380,,,,"The production of Nile tilapia (Oreochromis niloticus) has gained great importance in Latin American aquaculture systems, being considered an excellent option for local producers and large companies. However, is commercial growth has generated problems associated with the appearance of diseases that cause an increase in mortality. Due to the above and in order to reduce the use of antibiotics, in recent years producers have begun to use food additives from natural sources. The objective of this study was to evaluate the effect of commercial feed additive on the productive performance of Nile tilapia grown in floating cages. Two treatments were evaluated, commercial food (control) and commercial food + food additive (0.5%), both fed three times a day for a period of 30 days. After the 30 days, the experiment was continued for another 30 days. In total, 450 fish per floating cage were used. Each treatment was carried out by quadruplicate. Biometrics were performed every 15 days, recording wet weight (PH) and total length (LT). The final survival was calculated, and with the PH and LT data obtained, the biomass gained (BG), the daily growth rate (TCD) and the condition factor (FC) were calculated. The results showed that the values of PH, BG, TCD and final survival were significantly higher (P < 0.05) in the treatment that received the feed additive compared to the control treatment from day 30 until the end of the experiment. The growth and survival obtained provide evidence su"
17,El etiquetado de alimentos pre-envasados y pre-etiquetados tiene un impacto positivo en los hábitos de consumo,2023,PÄDI Boletín Científico de Ciencias Básicas e Ingenierías del ICBI,es,MX,0,10.29057/icbi.v10i20.10247,B_aditivos_envasados_mx,"""NOM-051"" etiquetado",OpenAlex,https://openalex.org/W4313500277,,,,"Objetivo: Determinar si las modificaciones a la NOM-051-SCFI/SSA-2010 relativas al etiquetado de alimentos pre-envasados y pre-etiquetados (APP) nocivos ha inducido cambios en los hábitos de consumo de los mexicanos. Materiales y Métodos: Se realizó una encuesta por Google Forms que indagó acerca de los hábitos de consumo de APP anteriores a la entrada en vigor de la NOM-051-SCFI/SSA-2010 modificada, y durante el periodo de su entrada en vigor. Los datos se compararon mediante una prueba t de Student pareada. Resultados: El consumo de (APP) se redujo de manera significativa durante la entrada en vigor de la NOM-051-SCFI/SSA-2010 (p≤0.0001), aunque predomina la idea de que es preferible que los fabricantes generen productos sanos a que exista el etiquetado de los mismos. Conclusiones: El etiquetado de alimentos ha resultado de utilidad para cambiar los hábitos de consumo, produciendo un descenso en la compra de alimentos que se etiquetan como dañinos para la salud."
16,"Gobernanza, desigualdad y nutrición infantil en México: un análisis crítico de los avatares de la política pública",2025,Espacio Científico de Contabilidad y Administración - UASLP (ECCA).,,MX,0,10.58493/ecca.2025.4.1.22,B_aditivos_envasados_mx,"""NOM-051"" etiquetado",OpenAlex,https://openalex.org/W7125938965,,,,"La nutrición infantil constituye uno de los principales retos de salud pública en México, donde coexisten la desnutrición crónica en sectores vulnerables y el sobrepeso en áreas urbanas. Este fenómeno refleja la llamada “doble carga de la malnutrición”, que limita el desarrollo físico, cognitivo y social de la niñez. El documento analiza los avatares de las políticas públicas implementadas para enfrentar esta problemática, destacando el etiquetado frontal de advertencia (NOM-051), los lineamientos escolares, las guías alimentarias y las medidas fiscales. Aunque estas acciones representan avances significativos en regulación y prevención, su impacto se ve restringido por desigualdades socioeconómicas, falta de coordinación institucional, limitaciones presupuestales y la influencia de la industria alimentaria. El estudio, con enfoque cualitativo, descriptivo y analítico, evidencia que la regulación aislada es insuficiente para transformar hábitos de consumo; se requiere complementar con educación, subsidios a alimentos saludables, entornos escolares adecuados y estrategias intersectoriales. Finalmente, se plantea que la nutrición infantil debe abordarse como un problema público complejo, que demanda políticas integrales, equitativas y sostenibles para garantizar el derecho a una alimentación saludable en la infancia mexicana."
15,Incidencia de hipersensibilidad a colorantes artificiales de los alimentos en un grupo de estudiantes de medicina,2012,Pediatría de México,es,,0,,A_colorantes_mercado_mx,"""food dyes"" prevalence",OpenAlex,https://openalex.org/W2257215359,,,,Objective: To compare the incidence of hypersensitivity to artifi cial food dyes in students of the third semester of a private medical school in southern Tamaulipas. Methods and materials: A quasiexperimental study was performed in a group of medical school students selected by non-probabilistic sampling methods. The scratch test is used to cause the activation of sensitized mast cells by depositing a drop of yellow and red food dyes on the anterior surface of the forearm and then puncturing the skin with a thin needle through the drop. If atopy occurs there will be a pruritic erythematous wheal within a few minutes indicating that those mast cells possess IgE antibodies against that specifi c allergen and when they interact it causes the release of mediators of anaphylaxis along with their side effects. The scratch test results are interpreted 15 to 20 minutes after. It was considered as immunologically signifi cant a papule of 3 mm or greater compared with the positive control (histamine) of the diluent. Results: The size of the sample group was 100 students and 23 of them showed positive results to tartrazina (Yellow No. 5) and none of them to the red artifi cial food dye in the scratch test. Conclusions: A positive hypersensitivity reaction to tartrazine prevailed in the 23% of the sample constituted by medical school students of the third semester with a higher prevalence in males.
15,Extracción de oleorresinas de pimentón y su aplicación como colorante rojo como alternativa al rojo 40,2025,Memorias del Concurso Lasallista de Investigación Desarrollo e innovación,,"BO,MX",0,10.26457/mclidi.v12i1.4666,A_colorantes_mercado_mx,"colorantes ""alimentos procesados""",OpenAlex,https://openalex.org/W7131070526,,,,"El Rojo 40 (Allura Red AC) es un colorante azo utilizado en alimentos procesados para intensificar colores rojizos y sabores. Derivado del alquitrán de hulla, su uso se ha asociado con efectos adversos para la salud, como irritación gastrointestinal, alergias y posible actividad carcinogénica. Frente a esta problemática, se propone la extracción de oleorresina de pimentón como una alternativa natural y menos nociva para su uso como colorante rojo. El objetivo principal fue obtener dicha oleorresina y evaluar su capacidad de tinción en masa comestible, líquidos de consumo alimentario, crema y jabón corporal. La oleorresina obtenida presentó una coloración intensa, termoestable y con buena afinidad de tinción en la mayoría de los medios evaluados. Los resultados sugieren que, bajo condiciones controladas, la oleorresina de pimentón puede sustituir al Rojo 40 en aplicaciones cosméticas y, potencialmente, alimentarias. Se concluye que esta alternativa representa una opción viable, natural y segura ante la creciente preocupación por los efectos de los aditivos sintéticos en la salud humana. Además, al reducir la exposición a compuestos potencialmente tóxicos y promover el uso de ingredientes naturales, esta propuesta contribuye a los Objetivos de Desarrollo Sostenible, en particular los relacionados con la salud y el consumo responsable."
