titulo,autores,anio,revista,doi,bloque,consulta,fuente_api
Dual solutions of radiative Ag-MoS_2/water hybrid nanofluid flow with variable viscosity and variable thermal conductivity along an exponentially shrinking permeable Riga surface: Stability and entropy generation analysis,Gopinath Mandal; Dulal Pal,2023,International Journal of Modelling and Simulation,10.1080/02286203.2023.2171656,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",OpenAlex
Numerical studies on the effects of melting heat transfer over quadratic radiative-magnetic hybrid nanofluid flow toward a porous shrinkable surface influenced by second-order slip velocity: Stability analysis and entropy generation,Gopinath Mandal; Dulal Pal,2023,International Journal of Modelling and Simulation,10.1080/02286203.2023.2270881,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",OpenAlex
Commonly consumed Indian plant food materials in the management of diabetes mellitus,"Kaushik, Geetanjali; Satya, Santosh; Khandelwal, Rakesh Kumar; Naik, S.N.",2010,Diabetes &amp; Metabolic Syndrome: Clinical Research &amp; Reviews,10.1016/j.dsx.2008.02.006,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"Characterisation of authentic Italian extra-virgin olive oils by stable isotope ratios of C, O and H and mineral composition","Camin, Federica; Larcher, Roberto; Perini, Matteo; Bontempo, Luana; Bertoldi, Daniela; Gagliano, Giacomo; Nicolini, Giorgio; Versini, Giuseppe",2010,Food Chemistry,10.1016/j.foodchem.2008.04.059,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"The combination of stable isotope abundance ratios of H, C, N and S with 87Sr/86Sr for geographical origin assignment of orange juices","Rummel, Susanne; Hoelzl, Stefan; Horn, Peter; Rossmann, Andreas; Schlicht, Claus",2010,Food Chemistry,10.1016/j.foodchem.2008.05.115,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
The use of stable carbon isotopes to authenticate claims that poultry have been corn-fed,"Rhodes, Christopher N.; Lofthouse, Janice H.; Hird, Simon; Rose, Paul; Reece, Paul; Christy, Julie; Macarthur, Roy; Brereton, Paul A.",2010,Food Chemistry,10.1016/j.foodchem.2008.05.113,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Quantitation using informative zeros (QUIZ): Application for GMO detection and quantification without recourse to certified reference material,"Lee, David; Mura, Maurizio La; Greenland, Andrew; Mackay, Ian",2010,Food Chemistry,10.1016/j.foodchem.2008.05.118,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Non-dairy probiotic products,"Rivera-Espinoza, Yadira; Gallardo-Navarro, Yoja",2010,Food Microbiology,10.1016/j.fm.2008.06.008,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
MECHANICAL BEHAVIOR AND PHYSICAL PROPERTIES OF CHICKEN EGG AS AFFECTED BY DIFFERENT EGG WEIGHTS,"ALTUNTAS, EBUBEKIR; SEKEROGLU, AHMET",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00263.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Chaos control and synchronization of a three-species food chain model via Holling functional response,"Wu, Xiang-Jun; Li, Jie; Upadhyay, Ranjit Kumar",2010,International Journal of Computer Mathematics,10.1080/00207160801993232,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Application of trace element and stable isotope signatures to determine the provenance of tea (Camellia sinensis) samples,"Pilgrim, Tamara S.; Watling, R. John; Grice, Kliti",2010,Food Chemistry,10.1016/j.foodchem.2008.08.077,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Rheological and crystalline properties of trans-free model fat blends as affected by the length of fatty acid chains,"Zárubová, M.; Filip, V.; Kšandová, L.; Šmidrkal, J.; Piska, I.",2010,Journal of Food Engineering,10.1016/j.jfoodeng.2008.08.030,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Food Types in the Diet and the Nutrient Intake of Obese and Non-Obese Children,"Garipağaoğlu, Muazzez; Sahip, Yusuf; Budak, Nurten; Akdikmen, Öznur; Altan, Tuğce; Baban, Melis",2011,Journal of Clinical Research in Pediatric Endocrinology,10.4008/jcrpe.v1i1.5,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Stable C and N isotope ratio analysis for regional geographical traceability of cattle in China,"Guo, B.L.; Wei, Y.M.; Pan, J.R.; Li, Y.",2010,Food Chemistry,10.1016/j.foodchem.2008.09.062,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Development of primer and probe sets for the detection of plant species in honey,"Laube, I.; Hird, H.; Brodmann, P.; Ullmann, S.; Schöne-Michling, M.; Chisholm, J.; Broll, H.",2010,Food Chemistry,10.1016/j.foodchem.2008.09.063,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Multivariate analysis of NMR fingerprint of the unsaponifiable fraction of virgin olive oils for authentication purposes,"Alonso-Salces, R.M.; Héberger, K.; Holland, M.V.; Moreno-Rojas, J.M.; Mariani, C.; Bellan, G.; Reniero, F.; Guillou, C.",2010,Food Chemistry,10.1016/j.foodchem.2008.09.061,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Experimental study of heat transfer intensification by using a novel combined shelf in food refrigerated display cabinets (Experimental study of a novel cabinets),"Lu, Y.L.; Zhang, W.H.; Yuan, P.; Xue, M.D.; Qu, Z.G.; Tao, W.Q.",2010,Applied Thermal Engineering,10.1016/j.applthermaleng.2008.10.003,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Identification of botanical biomarkers found in Corsican honey,"Donarski, James A.; Jones, Stephen A.; Harrison, Mark; Driffield, Malcolm; Charlton, Adrian J.",2010,Food Chemistry,10.1016/j.foodchem.2008.10.033,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
A simple one-step PCR method for the identification between European and American razor clams species,"Fernández-Tajes, Juan; Freire, Ruth; Méndez, Josefina",2010,Food Chemistry,10.1016/j.foodchem.2008.10.043,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
"Prediction of the identity of fats and oils by their fatty acid, triacylglycerol and volatile compositions using PLS-DA","van Ruth, S.M.; Villegas, B.; Akkermans, W.; Rozijn, M.; van der Kamp, H.; Koot, A.",2010,Food Chemistry,10.1016/j.foodchem.2008.10.047,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Examining preschoolers' nutrition knowledge using a meal creation and food group classification task: age and gender differences,"Holub, Shayla C.; Musher‐Eizenman, Dara R.",2010,Early Child Development and Care,10.1080/03004430802396027,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Towards a multiplex cereal traceability tool using padlock probe ligation on genomic DNA,"Prins, Theo W.; van Dijk, Jeroen P.; Angeline Van Hoef, A.M.; Voorhuijzen, Marleen M.; Broeders, Sylvia; Trapmann, Stefanie; Seyfarth, Ralf; Pardigol, Andreas; Schoen, Cor D.; Aarts, Henk J.M.; Kok, Esther J.",2010,Food Chemistry,10.1016/j.foodchem.2008.10.085,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Verification of the geological origin of bottled mineral water using artificial neural networks,"Grošelj, Neva; van der Veer, Grishja; Tušar, Marjan; Vračko, Marjan; Novič, Marjana",2010,Food Chemistry,10.1016/j.foodchem.2008.11.085,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
FUZZY CLUSTERING MODELING AND EVALUATION OF SURFACE INTERACTIONS AND EMULSIONS OF SELECTED WHEAT PROTEIN COMBINED TO IOTA‐CARRAGEENAN AND GUM ARABIC SOLUTIONS,"ABU‐GHOUSH, MAHMOUD; SAMHOURI, MURAD; YASEEN, EMAD; HERALD, THOMAS",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00324.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
Inhibition of Penicillium nordicum in MRS medium by lactic acid bacteria isolated from foods,"Schillinger, Ulrich; Villarreal, Jéssica Varela",2010,Food Control,10.1016/j.foodcont.2008.11.010,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
MICROBIAL ANALYSIS AND TEXTURAL PROPERTIES OF CANTONESE SAUSAGE,"WU, YANTAO; ZHAO, MOUMING; YANG, BAO; SUN, WEIZHENG; CUI, CHUN; MU, LIXIA",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00255.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref
