titulo,autores,anio,revista,doi,bloque,consulta,fuente_api,resumen
Anthocyanin food colorant and its application in pH-responsive color change indicator films,Swarup Roy; Jong‐Whan Rhim,2020,Critical Reviews in Food Science and Nutrition,10.1080/10408398.2020.1776211,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",OpenAlex,"Recently, interest in smart packaging, which can show the color change of the packaging film according to the state of the food and evaluate the quality or freshness of the packaged food in real-time, is increasing. As a color indicator, a natural colorant, anthocyanin, drew a lot of attention due to their various colors as well as useful functions properties such as antioxidant activity and anti-carcinogenic and anti-inflammatory effects, prevention of cardiovascular disease, obesity, and diabetes. In particular, the pH-responsive color-changing function of anthocyanins is useful for making color indicator smart packaging films. This review addressed the latest information on the use of natural pigment anthocyanins for intelligent and active food packaging applications. Recent studies on eco-friendly biodegradable polymer-based color indicator films incorporated with anthocyanins have been addressed. Also, studies on the use of smart packaging films to monitor the freshness of foods such as milk, meat, and fish were reviewed. This review highlights the potential and challenges for the use of anthocyanins as pH-responsive color-changing films for intelligent food packaging applications, which may be beneficial for further development of smart color indicator films for practical use."
Natural pigments: innovative extraction technologies and their potential application in health and food industries,Ayu Masyita; Gemala Hardinasinta; Ayun Dwi Astuti; Firdayani Firdayani; Dian Mayasari; Aki Hori; Ira Nur Ainun Nisha; Firzan Nainu; Takayuki Kuraishi,2025,Frontiers in Pharmacology,10.3389/fphar.2024.1507108,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",OpenAlex,"Natural pigments, or natural colorants, are frequently utilized in the food industry due to their diverse functional and nutritional attributes. Beyond their color properties, these pigments possess several biological activities, including antioxidant, anti-inflammatory, anticancer, antibacterial, and neuroprotective effects, as well as benefits for eye health. This review aims to provide a timely overview of the potential of natural pigments in the pharmaceutical, medical, and food industries. Special emphasis is placed on emerging technologies for natural pigment extraction (thermal technologies, non-thermal technologies, and supercritical fluid extraction), their pharmacological effects, and their potential application in intelligent food packaging and as food colorants. Natural pigments show several pharmaceutical prospects. For example, delphinidin (30 µM) significantly inhibited the growth of three cancer cell lines (B16-F10, EO771, and RM1) by at least 90% after 48 h. Furthermore, as an antioxidant agent, fucoxanthin at the highest concentration (50 μg/mL) significantly increased the ratio of glutathione to glutathione disulfide ( p < 0.05). In the food industry, natural pigments have been used to improve the nutritional value of food without significantly altering the sensory experience. Moreover, the use of natural pH-sensitive pigments as food freshness indicators in intelligent food packaging is a cutting-edge technological advancement. This innovation could provid"
Utilisation de colorants pour le dépistage de la pénicilline dans le lait,"Müller, E.",2010,Pathologia et Microbiologia,10.1159/000161317,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref,
INTEGRATING FUZZY LOGIC PROCEDURE FOR SIGNAL VALIDATIONS: MALTA COLORING AS STUDY CASE,"RIVEROL, C.; CAROSI, C.",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00257.x,A_colorantes_mercado_mx,"""food colorants"" ""packaged food""",Crossref,"  ABSTRACT    In this study, the use of fuzzy logic for signal validation is introduced. This tool uses the sensor readings at the current time step to predict system state at the next time step using observers. The deviation between the sensor reading and the model prediction rises, leading to fault detection and isolation. The fault is accommodated by replacing the reading of the faulty sensor by the model prediction. The results presented in this article demonstrate that a simple scheme can carry out sensor fault detection, isolation and accommodation using a fuzzy rule‐based system based on experience of an operator into heuristics. Although the method lacks the mathematical basis that other analytical methods provide, this method is simple, effective and useful.      PRACTICAL APPLICATIONS  The coloring process has to be controlled and monitored carefully because if the color of the MALTA is not adequate, then the MALTA has to be recycled to another unit (dilution unit) where the colorant is eliminated. This recycling process uses delay around 3 working days, and the economic impact is high. The validation of signal and reduction of fault sensor contribute to the reduction of the recycling process. In this study, the incorporation of fuzzy logic in the treatment of sensor signal represents a significant factor in the improvement of MALTA production units.  "
Boron nitride -molybdenum disulfide nanocomposite as electrochemical sensor for the nanomolar level detection of synthetic dye–sunset yellow in soft drinks,Dhrishya Vijayanandan; Arya Santhosh Nair; Saisree Sadhasivakurup; Elsa Dais; Sandhya Karunakaran Yesodha,2026,Electrochimica Acta,10.1016/j.electacta.2026.149525,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",OpenAlex,
Natural Colors as pH Indicators in Intelligent Food Packaging Systems,Santosh Kumar; Avik Mukherjee,2025,,10.1201/9781003673835-13,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",OpenAlex,"Intelligent food packaging systems are effective in monitoring the quality of packaged food during its movement through the food chain and simultaneously communicating with the consumers about the state of the quality of the food item. Change in pH is common during the deterioration of food, and pH-sensitive indicators have been used as intelligent labels that show discernible changes in the appearance of the packaged food indicating quality alterations. Natural colorants such as anthocyanins, carotenoids, curcumins, and betalains are attractive sustainable alternatives to synthetic pH-sensitive dyes used in intelligent packaging systems. The synthetic dyes may cause environmental pollution as well as health hazards in terrestrial and aquatic animals, and humans. Chitosan, starch, cellulose, and gelatin are commonly used biomaterials that are incorporated with anthocyanin and other natural pigments extracted from sources like sweet potato, carrot, blackberry, beetroot, and black rice bran to develop sustainable intelligent labels to monitor the quality of the packaged perishables, e.g., milk, meat, fish, poultry, fruits, and vegetables. This chapter is a synoptic account of sustainable intelligent food packaging systems loaded with pH-sensitive natural colorants, their principles, and applications for preserving and monitoring the quality of perishable foods."
Demonstration of Segmental Arrangement of Thoracic Spinal Motor Neurons Using Lipophilic Dyes,"Tsering, Chock",2010,Developmental Neuroscience,10.1159/000111676,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref," Unlike the afferent input into the spinal cord, it is generally believed that the motor efferent system in the mammalian spinal cord is more segmental in arrangement. Isolated comments in recent reports suggest that motor neurons in the mammalian spinal cord may be strictly segmental, contrary to many earlier reports using less sophisticated methods. We have attempted to address the question of the segmental arrangement of motor neurons in a mammalian spinal cord using single and double labelling with the fluorescent lipophilic dyes, Di I and Di A. These dyes have the ability to diffuse along and stain the plasma membrane of the neural elements in aldehyde-fixed specimens. Sprague-Dawley rat fetuses and early postnatal pups were used. The study was conducted on the thoracic spinal cord. The results confirm that thoracic spinal motor neurons are restricted to the segments from which their axons exit via the ventral roots in the intrauterine stages of development. The segmental arrangement of motor neurons in the thoracic spinal cord corresponded well with that of the sympathetic preganglionic neurons which were stained simultaneously. "
Spectroscopic and lasing properties of Xanthene dyes encapsulated in silica and polymeric matrices,"Sharma, Sunita; Mohan, Devendra; Singh, Nageshwar; Sharma, Meenakshi; Sharma, A.K.",2010,Optik,10.1016/j.ijleo.2008.05.005,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Hybrid solar cells using nanorod zinc oxide electrodes and perylene monoimide–monoanhydride dyes,"Erten-Ela, Sule; Cogal, Sadik; Turkmen, Gulsah; Icli, Siddik",2010,Current Applied Physics,10.1016/j.cap.2009.05.018,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Dye-sensitized solar cells with natural dyes extracted from achiote seeds,"Gómez-Ortíz, N.M.; Vázquez-Maldonado, I.A.; Pérez-Espadas, A.R.; Mena-Rejón, G.J.; Azamar-Barrios, J.A.; Oskam, G.",2010,Solar Energy Materials and Solar Cells,10.1016/j.solmat.2009.05.013,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
