termino,codigo,bloque,forma_del_nombre
extracto de semillas de bixa orellana,E160b,naturales,nombre_comun_planta
complejos cupricos de clorofila,E141,naturales,nombre_tecnico
extracto de papa dulce morada,E163,naturales,nombre_comun_planta
caramelo al sulfito de amonio,E150,fuera_de_eje,nombre_tecnico
extracto de tegumento de uva,E163,naturales,nombre_comun_planta
extracto de zanahoria morada,E163,naturales,nombre_comun_planta
extracto de campanilla azul,E163,naturales,nombre_comun_planta
extracto de zanahoria negra,E163,naturales,nombre_comun_planta
extracto de camote morado,E163,naturales,nombre_comun_planta
extracto de coccus cacti,E120,naturales,nombre_comun_planta
extracto de cempazuchitl,E161b,naturales,nombre_comun_planta
oxido de hierro amarillo,E172,naturales,nombre_tecnico
beta caroteno sintetico,E160a-i,sinteticos,nombre_tecnico
extracto de cempasuchil,E161b,naturales,nombre_comun_planta
extracto de piel de uva,E163,naturales,nombre_comun_planta
extracto de maiz morado,E163,naturales,nombre_comun_planta
extracto de rabano rojo,E163,naturales,nombre_comun_planta
amarillo de quinoleina,E104,sinteticos,nombre_tecnico
anaranjado alimentos 6,E160e,sinteticos,nombre_tecnico
anaranjado alimentos 7,E160f,sinteticos,nombre_tecnico
oleorresina de curcuma,E100,naturales,nombre_comun_planta
extracto de cochinilla,E120,naturales,nombre_comun_planta
oleorresina de paprika,E160c,naturales,nombre_comun_planta
concentrado de betabel,E162,naturales,nombre_comun_planta
extracto de col morada,E163,naturales,nombre_comun_planta
extracto de espirulina,SPIRULINA,naturales,nombre_comun_planta
verde acido brillante,E142,sinteticos,nombre_tecnico
extracto de zanahoria,E160a,naturales,nombre_comun_planta
extracto de betalaina,E162,naturales,nombre_comun_planta
oxido de hierro negro,E172,naturales,nombre_tecnico
amarillo alimentos 4,E102,sinteticos,numero_codigo
amarillo alimentos 3,E110,sinteticos,numero_codigo
beta apo 8 carotenal,E160e,sinteticos,nombre_tecnico
amarillo alimentos 5,E107,sinteticos,numero_codigo
carmin de cochinilla,E120,naturales,nombre_comun_planta
anaranjado natural 4,E160b,naturales,nombre_tecnico
extracto de pimenton,E160c,naturales,nombre_comun_planta
rojo raiz de betabel,E162,naturales,nombre_tecnico
concentrado de sauco,E163,naturales,nombre_comun_planta
pigmento amarillo 42,E172,naturales,numero_codigo
oxido de hierro rojo,E172,naturales,nombre_tecnico
fd&c amarillo no. 5,E102,sinteticos,numero_codigo
amarillo quinoleina,E104,sinteticos,nombre_tecnico
fd&c amarillo no. 6,E110,sinteticos,numero_codigo
amarillo crepusculo,E110,sinteticos,nombre_tecnico
extracto de curcuma,E100,naturales,nombre_comun_planta
clorofilina cuprica,E141,naturales,nombre_tecnico
extracto de achiote,E160b,naturales,nombre_comun_planta
extracto de paprika,E160c,naturales,nombre_comun_planta
extracto de betabel,E162,naturales,nombre_comun_planta
extracto de jamaica,E163,naturales,nombre_comun_planta
extracto de hibisco,E163,naturales,nombre_comun_planta
extracto de annato,E160b,naturales,nombre_comun_planta
extracto de rabano,E163,naturales,nombre_comun_planta
dioxido de titanio,E171,naturales,nombre_tecnico
amarillo natural 6,E164,naturales,numero_codigo
colorante caramelo,E150,fuera_de_eje,nombre_tecnico
caramelo clase iii,E150,fuera_de_eje,nombre_tecnico
rojo cochinilla a,E124,sinteticos,nombre_tecnico
rojo alimentos 14,E127,sinteticos,numero_codigo
rojo alimentos 17,E129,sinteticos,numero_codigo
