termino,codigo,bloque,forma_v1_parche15,forma_fina_v2,forma_v2,en_sinonimario_off
extracto de semillas de bixa orellana,E160b,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
complejos cupricos de clorofila,E141,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
caramelo al sulfito de amonio,E150,fuera_de_eje,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
extracto de papa dulce morada,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de tegumento de uva,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de zanahoria morada,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de campanilla azul,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de zanahoria negra,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de camote morado,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de cempazuchitl,E161b,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de coccus cacti,E120,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
oxido de hierro amarillo,E172,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
beta caroteno sintetico,E160a-i,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
extracto de cempasuchil,E161b,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de maiz morado,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de piel de uva,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de rabano rojo,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
amarillo de quinoleina,E104,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
anaranjado alimentos 6,E160e,sinteticos,nombre_tecnico,indice_de_color,numero_codigo,False
anaranjado alimentos 7,E160f,sinteticos,nombre_tecnico,indice_de_color,numero_codigo,False
concentrado de betabel,E162,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de cochinilla,E120,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de col morada,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de espirulina,SPIRULINA,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
oleorresina de curcuma,E100,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
oleorresina de paprika,E160c,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de betalaina,E162,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
extracto de zanahoria,E160a,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False
oxido de hierro negro,E172,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,True
verde acido brillante,E142,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,False
amarillo alimentos 3,E110,sinteticos,numero_codigo,indice_de_color,numero_codigo,False
amarillo alimentos 4,E102,sinteticos,numero_codigo,indice_de_color,numero_codigo,False
amarillo alimentos 5,E107,sinteticos,numero_codigo,indice_de_color,numero_codigo,False
