termino,codigo,bloque,forma_v1_parche15,forma_v2_parche16,forma_v2_corregida,forma_fina_corregida,forma_dra_ciega,en_sinonimario_off,coinciden_v2_y_dra
extracto de semillas de bixa orellana,E160b,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
complejos cupricos de clorofila,E141,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,nombre_tecnico,nombre_tecnico,False,True
caramelo al sulfito de amonio,E150,fuera_de_eje,nombre_tecnico,nombre_tecnico,nombre_tecnico,nombre_tecnico,nombre_tecnico,False,True
extracto de papa dulce morada,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de tegumento de uva,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de zanahoria morada,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de campanilla azul,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de zanahoria negra,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de camote morado,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de cempazuchitl,E161b,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de coccus cacti,E120,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
oxido de hierro amarillo,E172,naturales,nombre_tecnico,nombre_tecnico,nombre_tecnico,nombre_tecnico,nombre_tecnico,True,True
beta caroteno sintetico,E160a-i,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,nombre_tecnico,nombre_tecnico,False,True
extracto de cempasuchil,E161b,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de maiz morado,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de piel de uva,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de rabano rojo,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
amarillo de quinoleina,E104,sinteticos,nombre_tecnico,nombre_tecnico,nombre_tecnico,nombre_tecnico,nombre_tecnico,True,True
anaranjado alimentos 6,E160e,sinteticos,nombre_tecnico,numero_codigo,numero_codigo,indice_de_color,numero_codigo,False,True
anaranjado alimentos 7,E160f,sinteticos,nombre_tecnico,numero_codigo,numero_codigo,indice_de_color,numero_codigo,False,True
concentrado de betabel,E162,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de cochinilla,E120,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de col morada,E163,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
extracto de espirulina,SPIRULINA,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
oleorresina de curcuma,E100,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
oleorresina de paprika,E160c,naturales,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,nombre_comun_planta,False,True
